Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Alpheratz,"α, (δ)",21,,358.0,677.0,00h 08m 23.17s,+29° 05′ 27.0″,2.07,−0.30,97.0,B9p,"Alpheratz, Sirrah; α2 CVn variable, ΔV = 0.04m, P = 0.966222 d; spectroscopic binary, also δ Peg",B8IV-VHgMn,11950.0 K,3.63 M☉,2.94 R☉,158.0 L☉,3.75 cgs,2.38 d,200.0 Myr,True
Mirach,β,43,,6860.0,5447.0,01h 09m 43.80s,+35° 37′ 15.0″,2.07,−1.86,199.0,M0IIIvar,"Mirach; variable, has a planet or brown dwarf (b)",M0 III,3762.0 K,2.49 M☉,86.4 R☉,1675.0 L☉,0.91 cgs,21.6 years,,True
γ1 And,γ1,57,,12533.0,9640.0,02h 03m 53.92s,+42° 19′ 47.5″,2.10,−3.08,355.0,K3IIb,Almach; quadruple star system,K2+IIb,4248.0 K,,98.5 R☉,2987.0 L☉,1.03 cgs,<17.0 km/s,,True
δ And,δ,31,,3627.0,3092.0,00h 39m 19.60s,+30° 51′ 40.4″,3.27,0.81,101.0,K3III...,spectroscopic binary; suspected variable,K3 III+K4 ± 2,4315.0 K,1.3 M☉,13.6 R☉,68.0 L☉,2.0 cgs,6.5 km/s,3.2 Gyr,True
Andromeda Galaxy,(n),33,,,,00h 42m 44.31s,+41° 16′ 09.4″,3.44 (nebulous),,2540000.0,,BD+40°148; naked eye spiral galaxy in the Local group,,,1012.0 M☉,,,,,,True
51 And,(υ),51,,9927.0,7607.0,01h 37m 59.50s,+48° 37′ 42.6″,3.59,−0.04,174.0,K3III,Nembus; multiple star,K3- III CN0.5,4316.0 K,1.75 M☉,21.3 R☉,142.1 L☉,2.01 cgs,,1.7 Gyr,True
ο And,ο,1,,217675.0,113726.0,23h 01m 55.25s,+42° 19′ 33.5″,3.62,−3.01,692.0,B6pv SB,"quadruple star system; γ Cas variable, Vmax = 3.55m, Vmin = 3.78m",B6III(B6IIIpe + A2p),14540.0 K,6.5 M☉,11.5 R☉,5300.0 L☉,,240.0 km/s,52.0 Myr,True
λ And,λ,16,,222107.0,116584.0,23h 37m 33.71s,+46° 27′ 33.0″,3.81,1.75,84.0,G8III-IV,"RS CVn variable, Vmax = 3.65m, Vmin = 4.05m, P = 53.95 d",G8 IV,4633.0 K,1.47 M☉,7.787 R☉,28.8 L☉,2.75 cgs,54.41 days,,True
μ And,μ,37,,5448.0,4436.0,00h 56m 45.10s,+38° 29′ 57.3″,3.86,0.75,136.0,A5V,multiple star,A5 V,8320.0 K,2.21 M☉,3.03 R☉,40.0 L☉,3.99 cgs,75.0 km/s,724.0 Myr,True
ζ And,ζ,34,,4502.0,3693.0,00h 47m 20.39s,+24° 16′ 02.6″,4.08,0.35,181.0,K1II,"β Lyr/RS CVn variable, Vmax = 3.92m, Vmin = 4.14m, P = 17.7696 d",K1III + KV,4665.0 K,2.6 M☉,15.9 R☉,95.5 L☉,2.8 cgs,17.77 days,,True
υ And,,50,,9826.0,7513.0,01h 36m 47.98s,+41° 24′ 23.0″,4.10,3.45,44.0,F8V,"Titawin, has four planets (b, c, d & e)",F9V+ M4.5V,6614.0 K,1.23 M☉,1.57 R☉,3.1 L☉,4.0 cgs,7.3 d,4.02 Gyr,True
κ And,κ,19,,222439.0,116805.0,23h 40m 24.44s,+44° 20′ 02.3″,4.15,0.57,170.0,B9IVn,"triple star, has a planet (b)",B9 IVn,12050.0 (polar)K,2.768 M☉,1.959 (polar)R☉,62.6 L☉,4.296 (polar)cgs,142.2 km/s,47.0 Myr,True
