Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Hamal,α,13,,12929.0,9884.0,02h 07m 10.29s,+23° 27′ 46.0″,2.01,0.48,66.0,K2III,"Hamal, Hemal, Hamul, Ras Hammel, El Nath; suspected variable, Vmax = 1.98m, Vmin = 2.04m; has a planet (b)",K1IIIb,4553.0 K,1.5 M☉,15.19 R☉,76.2 L☉,2.3 cgs,3.44 km/s,3.4 Gyr,True
β Ari,β,6,,11636.0,8903.0,01h 54m 38.35s,+20° 48′ 29.9″,2.64,1.33,60.0,A5V...,"Sheratan, Sharatan, Al Sharatain; suspected variable, Vmax = 2.56m, Vmin = 2.70m",A3V + G2V,8759.0 K,2.067 M☉,2.125 R☉,20.9 L☉,4.0 cgs,73.0 km/s,630.0 Myr,True
41 Ari,c,41,,17573.0,13209.0,02h 49m 58.99s,+27° 15′ 38.8″,3.61,0.16,159.0,B8Vn,"Bharani; suspected variable, Vmax = 3.60m, Vmin = 3.64m",B8 Vn,11900.0 K,3.1 M☉,,160.0 L☉,,175.0 km/s,130.0 Myr,True
δ Ari,δ,57,,19787.0,14838.0,03h 11m 37.67s,+19° 43′ 36.1″,4.35,0.79,168.0,K2IIIvar,"Botein, Nir al Botain, Lucida Ventris, part of Al Buṭain; suspected variable, Vmax = 4.33m, Vmin = 4.37m",K2 III,4810.0 K,1.91 M☉,10.42 R☉,45.0 L☉,2.93 cgs,4.3 km/s,,True
39 Ari,,39,,17361.0,13061.0,02h 47m 54.44s,+29° 14′ 50.7″,4.52,0.80,181.0,K1III,Lilii Borea,K1.5 III,4768.0 K,1.6 M☉,10.22 R☉,48.7 L☉,2.7 cgs,4.5 km/s,,False
γ2 Ari,γ2,5,,11503.0,,01h 53m 31.80s,+19° 17′ 45.0″,4.62,1.11,164.0,kA0hA3(IV)SiSr,"Mesarthim, Mesartim; binary star; α2 CVn variable, ΔV = 0.04m, P = 1.6092 d",A0Vnp λ BooorA0IV-V(n)kB8,11000.0 K,2.67 M☉,1.97 R☉,42.0 L☉,4.26 cgs,54.0 km/s,34.0 Myr,False
35 Ari,,35,,16908.0,12719.0,02h 43m 27.11s,+27° 42′ 25.8″,4.65,−0.62,370.0,B3V,,B3 V,17520.0 K,5.7 M☉,3.9 R☉,870.0 L☉,,90.0 km/s,5.5 Myr,False
γ1 Ari,γ1,5,,11502.0,8832.0,01h 53m 31.77s,+19° 17′ 38.7″,4.7,1.19,164.0,B9.5IV,component of the γ Ari system,A0Vnp λ BooorA0IV-V(n)kB8,11000.0 K,2.67 M☉,1.97 R☉,42.0 L☉,4.26 cgs,54.0 km/s,34.0 Myr,False
λ Ari,λ,9,,11973.0,9153.0,01h 57m 55.78s,+23° 35′ 45.9″,4.79,1.73,133.0,F0V,binary star,F0 V + G1 V,7311.0 K,1.65 M☉,2.45 R☉,15.43 L☉,3.88 cgs,107.0 km/s,618.0 Myr,False
ζ Ari,ζ,58,,20150.0,15110.0,03h 14m 54.11s,+21° 02′ 40.7″,4.87,−0.22,340.0,A1V,part of Al Buṭain,A1 V,9528.0 K,2.43 M☉,2.974 R☉,65.7 L☉,3.88 cgs,133.0 km/s,333.0 Myr,False
