Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Arcturus,α,16.0,,,124897.0,69673.0,14h 15m 40.35s,+19° 11′ 14.2″,−0.05,−0.31,37.0,K2IIIp,"Alramech, Al Simak Al Ramih, Al Simak Lanceator; 3rd brightest star, variable",K1.5 III Fe−0.5,4286.0 K,1.08 M☉,25.4 R☉,170.0 L☉,1.66 cgs,2.4 km/s,7.1 Gyr,True
ε Boo,ε,36.0,,,129989.0,72105.0,14h 44m 59.22s,+27° 04′ 27.2″,2.37,−1.61,236.0,K0 II-III,"Izar, Mirak, Pulcherrima; binary star",K0 II-III+ A2 V,4755.0 K,4.6 M☉,37.61 R☉,652.5 L☉,2.24 cgs,10.9 km/s,,True
η Boo,η,8.0,,,121370.0,67927.0,13h 54m 41.12s,+18° 23′ 54.9″,2.68,2.41,37.0,G0IV,"Muphrid, Ramih al Ramih, Lancea Lanceator",G0 IV,6161.0 K,1.71 M☉,2.659 R☉,8.758 L☉,3.794 cgs,11.8 km/s,2.7 Gyr,True
γ Boo,γ,27.0,,,127762.0,71075.0,14h 32m 04.76s,+38° 18′ 28.4″,3.04,0.96,85.0,A7IIIvar,"Seginus, Menkib al Aoua al Aisr, Humerus Sinister Latratoris; δ Sct variable, Vmax = 3.02m, Vmin = 3.07m, P = 0.290314 d",A7 IV+(n)or A7 III,7800.0 K,2.1 M☉,4.03 R☉,33.4 L☉,3.75 cgs,121.0 km/s,1.0 Gyr,True
δ Boo,δ,49.0,,,135722.0,74666.0,15h 15m 30.10s,+33° 18′ 54.4″,3.46,0.69,117.0,G8III,Princeps.,G8 III,4810.0 K,1.5 M☉,11.43 R☉,58.1 L☉,2.38 cgs,3.6 km/s,3.09 Gyr,True
β Boo,β,42.0,,,133208.0,73555.0,15h 01m 56.79s,+40° 23′ 26.3″,3.49,−0.64,219.0,G8III,"Nekkar, Meres",G8IIIa Fe-0.5,4997.0 K,3.23 M☉,18.44 R☉,188.0 L☉,2.45 cgs,200.0 days,320.0 Myr,True
ρ Boo,ρ,25.0,,,127665.0,71053.0,14h 31m 49.86s,+30° 22′ 16.1″,3.57,0.27,149.0,K3III,,K4 III,4285.0 K,1.29 M☉,20.58 R☉,128.9 L☉,1.85 cgs,5.0 km/s,4.31 Gyr,True
ζ Boo,ζ,30.0,,,129246.0,71795.0,14h 41m 08.92s,+13° 43′ 42.0″,3.78,0.06,180.0,A3IVn,double star,A1V,8800.0 K,2.21 M☉,2.6 R☉,9.01 L☉,4.23 cgs,,560.0 Myr,False
θ Boo,θ,23.0,,,126660.0,70497.0,14h 25m 12.02s,+51° 51′ 06.2″,4.04,3.22,48.0,F7V,Asellus Primus,F7 V+ M2.5V,6292.0 K,1.232 M☉,1.726 R☉,4.205 L☉,4.06 cgs,29.2 km/s,3.83 Gyr,False
υ Boo,υ,5.0,,,120477.0,67459.0,13h 49m 28.70s,+15° 47′ 52.1″,4.05,−0.33,245.0,K5IIIvar,,K5.5 III,3920.0 K,1.11 M☉,40.72 R☉,332.0 L☉,1.5 cgs,5.1 km/s,10.08 Gyr,False
λ Boo,λ,19.0,,,125162.0,69732.0,14h 16m 23.18s,+46° 05′ 16.5″,4.18,1.81,97.0,A0sh,Xuángē (玄戈),A0p λB,8887.0 K,1.66 M☉,1.7 R☉,16.3 L☉,4.188 cgs,100.0 km/s,2.8 Gyr,False
μ1 Boo,μ1,51.0,,,137391.0,75411.0,15h 24m 29.54s,+37° 22′ 37.1″,4.31,1.46,121.0,F0V,Alkalurops; double star,F2IV,7000.0 K,1.6 M☉,1.9 R☉,20.0 L☉,3.4 cgs,89.0 km/s,,False
ζ Boo,ζ,30.0,,,129247.0,,14h 41m 08.90s,+13° 43′ 42.0″,4.43,,,,,A1V,8800.0 K,2.21 M☉,2.6 R☉,9.01 L☉,4.23 cgs,,560.0 Myr,False
σ Boo,σ,28.0,,,128167.0,71284.0,14h 34m 40.69s,+29° 44′ 41.3″,4.47,3.52,50.0,F3Vwvar,,F4VkF2mF1,6594.0 K,1.18 M☉,1.431 R☉,3.461 L☉,4.3 cgs,7.32 km/s,3.1 Gyr,False
π1 Boo,π1,29.0,,,129174.0,71762.0,14h 40m 43.56s,+16° 25′ 05.9″,4.49,−0.45,317.0,B9p MnHg,Alazal; binary star,B9 IIIp (MnHgSi) + A6 V,12052.0 K,3.49 M☉,3.2 R☉,214.0 L☉,3.99 cgs,14.0 km/s,,False
τ Boo,τ,4.0,,,120136.0,67275.0,13h 47m 16.04s,+17° 27′ 24.4″,4.50,3.53,51.0,F7V,has a planet (b),F6V + M2,6387.0 K,1.35 M☉,1.42 R☉,3.06 L☉,4.26 cgs,3.2 days,1.3 Gyr,False
ψ Boo,ψ,43.0,,,133582.0,73745.0,15h 04m 26.86s,+26° 56′ 51.6″,4.52,0.10,250.0,K2III,,K2 III,4302.0 K,1.38 M☉,20.0 R☉,135.0 L☉,2.2 cgs,3.5 km/s,4.16 Gyr,False
κ2 Boo,κ2,17.0,,,124675.0,69483.0,14h 13m 28.95s,+51° 47′ 24.0″,4.53,1.14,155.0,A8IV,"Asellus Tertius; binary star; δ Sct variable, Vmax = 4.50m, Vmin = 4.58m, P = 0.06479 d",F2V,6744.0 K,1.4 M☉,1.43 R☉,3.801 L☉,4.32 cgs,38.0 km/s,900.0 Myr,False
ξ Boo,ξ,37.0,,,131156.0,72659.0,14h 51m 23.28s,+19° 06′ 02.3″,4.54,5.41,22.0,G8V + K4V,"BY Dra variable, Vmax = 4.52m, Vmin = 4.67m, P = 10.137 d",G8 Ve + K4 Ve,5545.0 K,0.88 M☉,0.817 R☉,0.562 L☉,4.561 cgs,6.2 d,200.0 Myr,False
ο Boo,ο,35.0,,,129972.0,72125.0,14h 45m 14.50s,+16° 57′ 51.9″,4.60,0.40,225.0,K0III,,G8.5 III,4864.0 K,2.05 M☉,11.0 R☉,85.0 L☉,2.7 cgs,3.6 km/s,2.72 Gyr,False
ι Boo,ι,21.0,,,125161.0,69713.0,14h 16m 10.07s,+51° 22′ 01.3″,4.75,2.38,97.0,A9V,"Asellus Secundus; binary star, triple star; δ Sct variable, Vmax = 4.73m, Vmin = 4.78m, P = 0.027 d",A7 V+ K0 V,7764.0 K,1.65 M☉,1.715 R☉,8.9 L☉,4.14 cgs,144.0 km/s,785.0 Myr,False
HD 125351,A,,,,125351.0,69879.0,14h 17m 59.82s,+35° 30′ 34.1″,4.80,0.63,223.0,K1III,spectroscopic binary,K1III,4650.0 K,3.0 M☉,13.0 R☉,75.0 L☉,2.25 cgs,,,False
W Boo,,34.0,,,129712.0,71995.0,14h 43m 25.37s,+26° 31′ 40.4″,4.80,−2.38,888.0,M3III,"semiregular variable, Vmax = 4.49m, Vmin = 5.40m, P = 25 d",M3− III,3691.0 K,2.2 M☉,129.36 R☉,2802.0 L☉,1.24 cgs,,1.05 Gyr,False
ω Boo,ω,41.0,,,133124.0,73568.0,15h 02m 06.51s,+25° 00′ 29.7″,4.80,−0.41,359.0,K4III,,K4 III,3994.0 K,1.65 M☉,38.51 R☉,340.0 L☉,1.37 cgs,,2.99 Gyr,False
12 Boo,d,12.0,,,123999.0,69226.0,14h 10m 23.95s,+25° 05′ 30.6″,4.82,2.00,120.0,F9IVw,,F9IVw,6115.0 K,1.4109 M☉,2.45 R☉,7.531 L☉,3.73 cgs,,,False
