Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Cam,β,10.0,,31910.0,23522.0,05h 03m 25.10s,+60° 26′ 32.2″,4.03,−3.40,997.0,G0Ib,,G1Ib–IIa,5300.0 K,6.5 M☉,58.0 R☉,1592.0 L☉,1.79 cgs,11.7 km/s,53.0 Myr,True
CS Cam,,,CS,21291.0,16228.0,03h 29m 04.13s,+59° 56′ 25.2″,4.21,−6.39,4289.0,B9Ia,"α Cyg variable, ΔV = 0.05m",B9 Ia,10800.0 K,19.0 M☉,85.7 R☉,75900.0 L☉,1.65 cgs,30.0 km/s,16.5 Myr,True
α Cam,α,9.0,,30614.0,22783.0,04h 54m 03.01s,+66° 20′ 33.6″,4.26,−7.38,6936.0,O9.5Ia SB:,Shǎowèi (少衛),O9Ia,29000.0 K,37.6 M☉,32.5 R☉,676000.0 L☉,2.97 cgs,100.0 km/s,2.0 Myr,False
BE Cam,,,BE,23475.0,17884.0,03h 49m 31.29s,+65° 31′ 33.6″,4.39,−2.97,964.0,M1III,"irregular variable, Vmax = 4.35m, Vmin = 4.48m",M2 II,3660.0 K,2.93 M☉,250.0 R☉,10600.0 L☉,,,,False
7 Cam,,7.0,,31278.0,23040.0,04h 57m 17.22s,+53° 45′ 07.5″,4.43,−0.88,376.0,A1V,,A1 V,9226.0 K,3.16 M☉,,221.6 L☉,,40.0 km/s,,False
CE Cam,,,CE,21389.0,16281.0,03h 29m 54.75s,+58° 52′ 43.5″,4.55,−4.85,2470.0,A0Ia SB:,"α Cyg variable, ΔV = 0.03m",A0 Iae,9730.0 K,19.3 M☉,97.0 R☉,55000.0 L☉,1.75 cgs,25.0 km/s,11.0 Myr,False
γ Cam,γ,,,23401.0,17959.0,03h 50m 21.48s,+71° 19′ 56.5″,4.59,−0.47,335.0,A2IVn,,A2 IVn,8892.0 K,3.4 M☉,5.55 R☉,185.0 L☉,3.7 cgs,205.0 km/s,,False
BK Cam,,,BK,20336.0,15520.0,03h 19m 59.26s,+65° 39′ 08.4″,4.74,−2.21,801.0,B2.5Vne,"γ Cas variable, ΔV = ~0.11m",B2.5 Vne,18720.0 K,7.5 M☉,4.0 R☉,1080.69 L☉,4.2 cgs,328.0 km/s,31.6 Myr,False
VZ Cam,,,VZ,55966.0,36547.0,07h 31m 04.48s,+82° 24′ 41.6″,4.92,−0.89,473.0,M4IIIa,"semiregular variable, Vmax = 4.80m, Vmin = 4.96m, P = 23.7 d",M4IIIa,3641.0 K,,88.93 R☉,1252.0 L☉,,,,False
BD Cam,,,BD,22649.0,17296.0,03h 42m 09.35s,+63° 13′ 00.3″,5.06,−0.95,520.0,S5.3 SB:,"a symbiotic star; irregular variable, Vmax = 5.04m, Vmin = 5.17m",S3.5/2(M4III),3600.0 K,2.68 M☉,148.0 R☉,2000.0 L☉,1.5 cgs,,,False
3 Cam,,3.0,,29317.0,21727.0,04h 39m 54.69s,+53° 04′ 46.5″,5.07,−0.84,495.0,K0III SB,,K0III,4715.0 K,3.3 M☉,24.1 R☉,259.0 L☉,2.49 cgs,121.0 days,,False
43 Cam,,43.0,,49340.0,33104.0,06h 53m 42.24s,+68° 53′ 17.9″,5.11,−2.32,1000.0,B7III,,B7 III,13183.0 K,5.01 M☉,4.4 R☉,724.0 L☉,,190.0 km/s,,False
CQ Cam,,,CQ,20797.0,15890.0,03h 24m 40.56s,+64° 35′ 09.6″,5.13,−2.79,1249.0,M0II,"irregular variable, ΔV = ~0.12m",M0 II,3790.0 K,12.7 M☉,333.0 R☉,13236.0 L☉,0.48 cgs,,15.8 Myr,False
