Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Cnc,β,17,,69267,40526.0,08h 16m 30.95s,+09° 11′ 08.4″,3.53,−1.22,290.0,K4III,"Tarf, Al Tarf; variable star, ΔV = 0.005m, P = 6.01 d, has a planet (b)",K4III Ba1,4094.0 K,1.7 M☉,51.7 R☉,677.0 L☉,1.28 cgs,3.7 km/s,1.85 Gyr,False
δ Cnc,δ,47,,74442,42911.0,08h 44m 41.11s,+18° 09′ 17.5″,3.94,0.84,136.0,K0III,Asellus Australis,K0 III,4684.0 K,1.71 M☉,11.7 R☉,59.5 L☉,2.59 cgs,2.8 km/s,2.45 Gyr,False
ι Cnc A,ι,48,,74739,43103.0,08h 46m 41.83s,+28° 45′ 36.0″,4.03,−0.77,298.0,G8IIIa,component of the ι Cnc system,G8IIIa Ba0.2,4954.0 K,2.376 M☉,21.0 R☉,204.0 L☉,2.5 cgs,170.0 km/s,263.0 Myr,False
α Cnc,α,65,,76756,44066.0,08h 58m 29.20s,+11° 51′ 28.0″,4.26,0.63,173.0,A5m,"Acubens, Sertan; suspected variable, Vmax = 4.20m, Vmin = 4.27m",kA7VmF0/2III/IVSr,7943.0 K,2.1 M☉,3.655 R☉,49.0 L☉,3.73 cgs,75.0 km/s,,False
γ Cnc,γ,43,,74198,42806.0,08h 43m 17.21s,+21° 28′ 06.9″,4.66,1.23,181.0,A1IV,Asellus Borealis,A1IV,9311.0 K,2.35 M☉,2.53 R☉,43.3 L☉,4.0 cgs,86.0 km/s,171.0 Myr,False
ζ Cnc,ζ,16,,68255 68256 68257,40167.0,08h 12m 12.71s,+17° 38′ 53.3″,4.67,2.63,83.0,F7V+F9V +G0V+?,"Tegmine, quaternary star",F8V+ G0V+ G0IV-V,6230.0 K,1.28 M☉,1.27 R☉,,4.27 cgs,1.5 km/s,,False
8 Cnc,,8,,66664,39567.0,08h 05m 04.51s,+13° 07′ 06.1″,5.14,1.09,210.0,A1V,,A1 V,10352.0 K,2.37 M☉,,36.6 L☉,4.29 cgs,173.0 km/s,144.0 Myr,False
χ Cnc,χ,18,,69897,40843.0,08h 20m 03.87s,+27° 13′ 07.0″,5.14,3.84,59.0,F6V,suspected variable,F6V,6130.0 K,1.07 M☉,1.387 R☉,2.4378 L☉,4.35 cgs,4.2 km/s,5.8 Gyr,False
ξ Cnc,ξ,77,,78515,44946.0,09h 09m 21.53s,+22° 02′ 43.6″,5.16,−0.18,380.0,K0III,Nahn,G9 III Fe-1 CH-0.5,5025.0 K,3.4 M☉,16.13 R☉,149.0 L☉,2.62 cgs,2.1 km/s,271.0 Myr,False
ο1 Cnc,ο1,62,,76543,43970.0,08h 57m 14.91s,+15° 19′ 21.8″,5.22,1.77,160.0,A5III,α2 CVn variable,A5 III,8145.0 K,2.02 M☉,1.86 R☉,13.4 L☉,3.982 cgs,90.0 km/s,598.0 Myr,False
ρ2 Cnc,ρ2,58,,76219,43834.0,08h 55m 39.69s,+27° 55′ 39.2″,5.23,−1.00,574.0,G8II-III,,G8 IIIor G8 II-III,4994.0 K,3.59 M☉,24.2 R☉,310.0 L☉,2.46 cgs,8.1 km/s,234.0 Myr,False
σ3 Cnc,σ3,64,,76813,44154.0,08h 59m 32.68s,+32° 25′ 07.1″,5.23,0.27,320.0,G9III,suspected variable,G9 III,5170.0 K,2.81 M☉,10.32 R☉,72.0 L☉,3.18 cgs,2.3 km/s,420.0 Myr,False
κ Cnc,κ,76,,78316,44798.0,09h 07m 44.82s,+10° 40′ 05.6″,5.23,−0.63,484.0,B8IIImnp,"α2 CVn variable, Vmax = 5.22m, Vmin = 5.27m, P = 5.0035 d",B8 IIIp,12800.0 K,4.5 M☉,5.0 R☉,322.0 L☉,3.7 cgs,6.0 km/s,,False
