Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Cor Caroli,α2,12.0,,112413.0,63125.0,12h 56m 01.84s,+38° 19′ 05.7″,2.89,0.25,114.0,A0spe...,"prototype α² CVn variable, Vmax = 2.86m, Vmin = 2.93m, P = 5.46939 d; binary star with α1 CVn",A0pSiEuHg,11600.0 K,2.97 M☉,2.49 R☉,101.0 L☉,3.9 cgs,5.46939 d,165.0 Myr,True
β CVn,β,8.0,,109358.0,61317.0,12h 33m 45.09s,+41° 21′ 24.4″,4.24,4.63,27.0,G0V,"Chara, Asterion; solar analog; suspected variable, Vmax = 4.24m, Vmin = 4.29m",G0 V,6013.0 K,0.97 M☉,1.03 R☉,1.254 L☉,4.41 cgs,2.9 km/s,7.1 Gyr,True
24 CVn,,24.0,,118232.0,66234.0,13h 34m 27.37s,+49° 00′ 57.3″,4.68,0.85,190.0,A5V,"suspected variable, Vmax = 4.60m, Vmin = 4.70m",A5V,8285.0 K,1.74 M☉,1.9 R☉,40.8 L☉,3.97 cgs,159.0 km/s,310.0 Myr,False
20 CVn,,20.0,AO,115604.0,64844.0,13h 17m 32.64s,+40° 34′ 21.2″,4.72,0.00,286.0,F3III,"δ Sct variable, Vmax = 4.7m, Vmin = 4.75m, P = 0.12168 d",A9 II mF2,7314.0 K,2.43 M☉,5.1 R☉,63.0 L☉,2.97 cgs,15.0 km/s,750.0 Myr,False
AW CVn,,,AW,120933.0,67665.0,13h 51m 47.49s,+34° 26′ 39.5″,4.76,−1.58,604.0,K5III,"semiregular variable, Vmax = 4.72m, Vmin = 4.81m",M3- IIIa,3529.0 K,2.18 M☉,117.41 R☉,2387.0 L☉,0.98 cgs,,1.11 Gyr,False
5 CVn,,5.0,,107950.0,60485.0,12h 24m 01.48s,+51° 33′ 44.0″,4.77,−0.64,393.0,G7III,"Xiāng (相); suspected eclipsing binary, ΔV = 0.07m",G7 III Ba0.3,5098.0 K,2.96 M☉,12.0 R☉,174.0 L☉,2.6 cgs,6.6 km/s,530.0 Myr,False
25 CVn,,25.0,,118623.0,66458.0,13h 37m 27.70s,+36° 17′ 41.4″,4.82,0.97,192.0,A7III,binary star,A7 III + A8 V:,7609.0 K,2.23 M☉,,,3.85 cgs,235.0 km/s,659.0 Myr,False
HR 5110,,,BH,118216.0,66257.0,13h 34m 47.75s,+37° 10′ 56.8″,4.91,1.67,145.0,F2IV SB,"RS CVn variable, ΔV = 0.07m, P = 2.61317 d",kA6hF1mF2(F2 IV + K0 IV),6569.0 K,1.5 M☉,2.6 R☉,19.01 L☉,3.61 cgs,,1.36 Gyr,False
6 CVn,,6.0,,108225.0,60646.0,12h 25m 51.00s,+39° 01′ 07.3″,5.01,0.79,227.0,G8III-IV,"variable star, ΔV = 0.006m, P = 157.23270 d",G9 III,4938.0 K,2.04 M☉,9.0 R☉,67.6 L☉,2.8 cgs,0.0 km/s,2.05 Gyr,False
21 CVn,,21.0,BK,115735.0,64906.0,13h 18m 14.54s,+49° 40′ 55.3″,5.13,0.51,275.0,A0V,"α² CVn variable, ΔV = 0.04m",B9 IV (Si)orA0 V Si:,11036.0 K,2.73 M☉,2.8 R☉,72.49 L☉,4.05 cgs,96.0 km/s,201.0 Myr,False
