Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
"Sirius A, B",α,9.0,,48915.0,32349.0,06h 45m 09.25s,−16° 42′ 47.3″,−1.46,1.42,8.6,A0m...,"Alhabor, Aschere, Canicula, the Dog Star; brightest star, 5th nearest star system; binary",A0mA1 Va,9845.0 K,2.063 M☉,1.713 R☉,24.7 L☉,4.33 cgs,16.0 km/s,242.0 Myr,True
ε CMa,ε,21.0,,52089.0,33579.0,06h 58m 37.55s,−28° 58′ 19.5″,1.50,−4.10,431,B2II,"Adhara, Aoul al Adzari, Prima Virginum part of Al ʽAdhārā or Al Adzari",B2 IIor B2 III-II,22500.0 K,13.1 M☉,10.7 R☉,22400.0 L☉,3.5 cgs,5.0 days,19.0 Myr,True
δ CMa,δ,25.0,,54605.0,34444.0,07h 08m 23.49s,−26° 23′ 35.5″,1.83,−6.87,1791,F8Ia,"Wezen, Thalath al Adzari, Tertia Virginum, part of Al ʽAdhārā or Al Adzari; variable star, ΔV = 0.004m, P = 24.08478 d",F8 Ia,5818.0 K,15.0 M☉,188.0 R☉,34600.0 L☉,1.0 cgs,13.4 km/s,12.0 Myr,True
β CMa,β,2.0,,44743.0,30324.0,06h 22m 41.99s,−17° 57′ 21.3″,1.98,−3.95,499,B1II/III,"Mirzam (Murzim); β Cep variable, Vmax = 1.93m, Vmin = 2m, P = 0.25003 d",B1 II-III,25180.0 K,13.0 M☉,8.44 R☉,25700.0 L☉,3.7 cgs,13.6 days,13.8 Myr,True
η CMa,η,31.0,,58350.0,35904.0,07h 24m 05.71s,−29° 18′ 11.2″,2.45,−7.51,3196,B5Ia,"Aludra, part of Al ʽAdhārā or Al Adzari; α Cyg variable",B5 Ia,15800.0 K,9.5 M☉,54.0 R☉,163800.0 L☉,1.95 cgs,51.5 km/s,8.3 Myr,True
ζ CMa,ζ,1.0,,44402.0,30122.0,06h 20m 18.79s,−30° 03′ 48.2″,3.02,−2.05,336,B2.5V,Furud; spectroscopic binary; suspected variable,B2.5 V,18700.0 K,7.7 M☉,5.72 R☉,3603.0 L☉,4.0 cgs,25.0 km/s,32.0 Myr,True
ο2 CMa,ο2,24.0,,53138.0,33977.0,07h 03m 01.47s,−23° 49′ 59.9″,3.02,−6.46,2567,B3Ia,"Thanih al Adzari, Secunda Virginum, part of Al ʽAdhārā or Al Adzari; α Cyg variable",B3 Ia,15400.0 K,24.0 M☉,65.0 R☉,220000.0 L☉,2.15 cgs,35.0 km/s,7.4 Myr,True
σ CMa,σ,22.0,,52877.0,33856.0,07h 01m 43.15s,−27° 56′ 05.4″,3.49,−4.37,1216,K4III,"Unurgunite, irregular variable, Vmax = 3.43m, Vmin = 3.51m",K5 Ib,3792.0 K,2.0 M☉,297.0 R☉,15800.0 L☉,0.32 cgs,,83.2 Myr,True
κ CMa,κ,13.0,,50013.0,32759.0,06h 49m 50.47s,−32° 30′ 30.6″,3.50,−3.42,789,B1.5IVne,"γ Cas variable, Vmax = 3.40m, Vmin = 3.97m",B1.5 Ve,24600.0 K,12.2 M☉,5.9 R☉,18876.0 L☉,4.07 cgs,290.0 km/s,13.3 Myr,False
ο1 CMa,ο1,16.0,,50877.0,33152.0,06h 54m 07.95s,−24° 11′ 03.2″,3.89,−5.02,1976,K3Iab,"irregular variable, Vmax = 3.78m, Vmin = 3.99m",K2.5 Iab,4015.0 K,18.0 M☉,390.0 R☉,37414.0 L☉,,12.31 km/s,18.0 Myr,False
ν2 CMa,ν2,7.0,,47205.0,31592.0,06h 36m 41.00s,−19° 15′ 20.6″,3.95,2.46,65,K1III+...,"Yějī (野雞), has a planet (b); suspected variable, Vmax = 3.87m, Vmin = 3.96m",K1 III,4790.0 K,1.439 M☉,5.198 R☉,13.2 L☉,3.165 cgs,1.97 km/s,4.6 Gyr,False
ω CMa,ω,28.0,,56139.0,35037.0,07h 14m 48.66s,−26° 46′ 21.7″,4.01,−3.25,924,B2IV/Ve,"γ Cas variable, Vmax = 3.54m, Vmin = 4.18m",B2.5Ve,21878.0 K,10.1 M☉,6.2 R☉,13081.0 L☉,3.5 cgs,80.0 km/s,22.5 Myr,False
θ CMa,θ,14.0,,50778.0,33160.0,06h 54m 11.48s,−12° 02′ 18.9″,4.08,−0.36,252,K4III,,K4 III,4196.0 K,0.95 M☉,33.01 R☉,304.9 L☉,1.67 cgs,2.72 km/s,10.41 Gyr,False
γ CMa,γ,23.0,,53244.0,34045.0,07h 03m 45.49s,−15° 37′ 59.7″,4.12,−1.34,402,B8II,Muliphein; suspected variable,B8II,11732.0 K,4.15 M☉,6.08 R☉,537.0 L☉,3.51 cgs,6.214 days,,False
