Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
δ Cap,δ,49.0,,207098.0,107556.0,21h 47m 02.29s,−16° 07′ 35.6″,2.85,2.49,39.0,A5mF2 (IV),"Deneb Algedi, Scheddi; Algol variable, Vmax = 2.81m, Vmin = 3.05m, P = 1.0227688 d",A7m III(kA5hF0mF2III),7301.0 K,2.0 M☉,1.91 R☉,8.5 L☉,3.66 cgs,105.0 km/s,,True
β1 Cap,β1,9.0,,193495.0,100345.0,20h 21m 00.65s,−14° 46′ 53.0″,3.05,−2.07,328.0,A5:n,"Dabih; multiple star system; variable star, ΔV = 0.003m, P = 1.40657 d",K0II+B8V/A0III,4900.0 K,4.0 M☉,35.0 R☉,600.0 L☉,,,,True
α2 Cap,α2,6.0,,192947.0,100064.0,20h 18m 03.22s,−12° 32′ 41.5″,3.58,0.97,109.0,G6/G8III,"Algedi Secunda, Secunda Giedi; suspected variable",G8.5III-IV,5030.0 K,2.05 M☉,8.38 R☉,40.4 L☉,3.0 cgs,2.7 km/s,1.3 Gyr,True
γ Cap,γ,40.0,,206088.0,106985.0,21h 40m 05.34s,−16° 39′ 44.1″,3.69,0.54,139.0,A7III:mp...,Nashira; α 2 CVn variable,kF0hF1VmF2,7520.0 K,2.44 M☉,2.35 R☉,,3.69 cgs,40.0 km/s,,True
ζ Cap,ζ,34.0,,204075.0,105881.0,21h 26m 40.03s,−22° 24′ 41.0″,3.77,−1.66,398.0,G4Ibp...,"Marakk, Yan (燕), Yen; suspected eclipsing binary",G4Ib: Ba2+ DA2.2,5269.0 K,4.5 M☉,29.0 R☉,561.0 L☉,1.7 cgs,,,True
θ Cap,θ,23.0,,200761.0,104139.0,21h 05m 56.78s,−17° 13′ 57.8″,4.08,0.65,158.0,A1V,"Dorsum, Qin (秦), Tsin,",A1 V,10221.0 K,2.54 M☉,2.35 R☉,65.0 L☉,4.19 cgs,104.0 km/s,280.0 Myr,True
ω Cap,ω,18.0,,198542.0,102978.0,20h 51m 49.30s,−26° 55′ 08.9″,4.12,−2.30,628.0,K4III,Baten Algiedi; suspected variable,K4 III,3915.0 K,6.8 M☉,172.1 R☉,6269.0 L☉,0.85 cgs,4.68 km/s,48.1 Myr,True
ψ Cap,ψ,16.0,,197692.0,102485.0,20h 46m 05.77s,−25° 16′ 13.9″,4.13,3.30,48.0,F5V,"Pazhan, Yue; rotating variable, Vmax = 4.13m, Vmin = 4.14m, P = 4.932 d",F5 V,6589.0 K,1.35 M☉,1.49 R☉,3.77 L☉,4.25 cgs,40.9 km/s,2.34 Gyr,True
ι Cap,ι,32.0,,203387.0,105515.0,21h 22m 14.78s,−16° 50′ 04.4″,4.27,0.18,215.0,G8III,"Dai (代), Tae; BY Dra variable, ΔV = 0.06m",G8 III,5200.0 K,2.89 M☉,10.67 R☉,83.0 L☉,3.05 cgs,68.0 d,390.0 Myr,True
α1 Cap,α1,5.0,,192876.0,100027.0,20h 17m 38.86s,−12° 30′ 29.6″,4.3,−2.32,686.0,G3Ib,"Algedi Prima, Prima Giedi; suspected variable",G3 Ib,5119.0 K,5.3 M☉,36.3 R☉,1047.0 L☉,1.75 cgs,7.3 km/s,,False
24 Cap,A,24.0,,200914.0,104234.0,21h 07m 07.69s,−25° 00′ 20.7″,4.49,−1.53,522.0,K5/M0III,,M1− III,3903.0 K,,54.06 R☉,611.0 L☉,,,,False
36 Cap,b,36.0,,204381.0,106039.0,21h 28m 43.32s,−21° 48′ 25.8″,4.5,0.80,179.0,K0III,"Jin (晉), Tsin",G7IIIb Fe–1,5047.0 K,2.26 M☉,8.59 R☉,43.15 L☉,2.96 cgs,,770.0 Myr,False
ε Cap,ε,39.0,,205637.0,106723.0,21h 37m 04.82s,−19° 27′ 57.6″,4.51,−2.03,1060.0,B2.5Vpe,"Castra, Kastra; binary star system; γ Cas variable, Vmax = 4.48m, Vmin = 4.72m",B2.5 Vpe,18800.0 K,7.6 M☉,4.8 R☉,4649.0 L☉,4.0 cgs,225.0 km/s,27.5 Myr,False
κ Cap,κ,43.0,,206453.0,107188.0,21h 42m 39.42s,−18° 51′ 58.7″,4.72,−0.03,291.0,G8III,,G8 III,5096.0 K,2.43 M☉,13.28 R☉,106.8 L☉,2.59 cgs,0.0 km/s,1.19 Gyr,False
ν Cap,ν,8.0,,193432.0,100310.0,20h 20m 39.81s,−12° 45′ 32.6″,4.77,0.16,272.0,B9IV,Alshat,B9 IVor B9.5 V,10200.0 K,2.37 M☉,3.04 R☉,89.0 L☉,3.88 cgs,24.0 km/s,115.0 Myr,False
ρ Cap,ρ,11.0,,194943.0,101027.0,20h 28m 51.62s,−17° 48′ 49.2″,4.77,2.37,99.0,F3V,Bos,F2 IV+ G1,6911.0 K,1.52 M☉,1.3 R☉,9.0 L☉,4.02 cgs,87.7 km/s,1.74 Gyr,False
η Cap,η,22.0,,200499.0,104019.0,21h 04m 24.32s,−19° 51′ 17.8″,4.82,1.39,158.0,A5V,"Armus, Zhou (周), Chow",A4 V +  F2 V,,2.03 M☉,,24.0 L☉,,,,False
μ Cap,μ,51.0,,207958.0,108036.0,21h 53m 17.58s,−13° 33′ 06.5″,5.07,2.87,90.0,F3IV,"Kuh; suspected variable, ΔV = 0.03m",F2 V,6755.0 K,1.437 M☉,1.722 R☉,5.56 L☉,4.077 cgs,69.3 km/s,1.8 Gyr,False
π Cap,π,10.0,,194636.0,100881.0,20h 27m 19.20s,−18° 12′ 42.1″,5.08,−1.47,665.0,B4V,Okul,B8 II-IIIor B3-5 V,9623.0 K,5.9 M☉,,238.0 L☉,,30.0 km/s,43.4 Myr,False
46 Cap,c,46.0,,206834.0,107382.0,21h 45m 00.25s,−09° 04′ 56.7″,5.1,−1.85,799.0,G8II-III,part of Saʽd al Suʽud,G8Iabor G7.5II-IIICN0.5,4837.0 K,4.64 M☉,32.6 R☉,627.0 L☉,2.0 cgs,,,False
υ Cap,υ,15.0,,196777.0,101984.0,20h 40m 02.96s,−18° 08′ 19.0″,5.15,−1.67,755.0,M1III,suspected variable,M1 III,3953.0 K,,92.0 R☉,1283.0 L☉,,,,False
