Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Cas,α,18.0,,3712.0,3179.0,00h 40m 30.39s,+56° 32′ 14.7″,2.24,−1.99,228.0,K0II-IIIvar,Schedar,K0-IIIa,4625.0 K,3.98 M☉,42.15 R☉,734.0 L☉,1.73 cgs,6.71 km/s,220.0 Myr,True
β Cas,β,11.0,,432.0,746.0,00h 09m 10.09s,+59° 09′ 00.8″,2.28,1.17,54.0,F2III-IV,"Caph; δ Sct variable, Vmax = 2.25m, Vmin = 2.29m, P = 0.10 d",F2 III,7208.0 (polar)K,1.91 M☉,3.06 (polar)R☉,21.3 L☉,3.4 cgs,72.4 km/s,1.18 Gyr,True
γ Cas,γ,27.0,,5394.0,4427.0,00h 56m 42.50s,+60° 43′ 00.3″,2.47,−4.22,613.0,B0IV:evar,"Tsih, Navi; prototype γ Cas variable, Vmax = 1.6m, Vmin = 3.0m",B0.5IVe,17300.0 (equatorial)K,15.0 M☉,7.9 (polar)R☉,19000.0 L☉,3.5 cgs,389.0 km/s,8.0 Myr,True
δ Cas,δ,37.0,,8538.0,6686.0,01h 25m 48.60s,+60° 14′ 07.5″,2.68,0.26,99.0,A5Vv SB,"Ruchbah; Algol variable, Vmax = 2.68m, Vmin = 2.76m, P = 759 d",A5 IV,7980.0 K,2.49 M☉,3.9 R☉,72.88 L☉,,123.0 km/s,600.0 Myr,True
ε Cas,ε,45.0,,11415.0,8886.0,01h 54m 23.68s,+63° 40′ 12.5″,3.35,−2.31,442.0,B2pvar,"Segin; variable star, ΔV = 0.002m, P = 0.09 d",B3 V,15174.0 K,9.2 M☉,6.1 R☉,3059.0 L☉,3.5 cgs,30.0 km/s,15.4 Myr,True
η Cas,η,24.0,,4614.0,3821.0,00h 49m 05.10s,+57° 48′ 59.6″,3.46,4.59,19.0,G0V SB,"Achird, RS CVn variable",G0 V+ K7 V,6012.0 K,1.0258 M☉,1.0336 R☉,1.2321 L☉,4.4 cgs,3.15 km/s,5.4 Gyr,False
ζ Cas,ζ,17.0,,3360.0,2920.0,00h 36m 58.27s,+53° 53′ 49.0″,3.69,−2.62,597.0,B2IV,"Fùlù (附路), suspected variable",B2IV,21500.0 K,8.96 M☉,6.1 R☉,7200.0 L☉,3.81 cgs,5.37045 days,22.9 Myr,False
50 Cas,,50.0,,12216.0,9598.0,02h 03m 26.19s,+72° 25′ 16.5″,3.95,0.47,162.0,A2V,"variable star, ΔV = 0.003m, P = 0.80 d",A2 V,9376.0 K,2.56 M☉,2.5 R☉,63.8 L☉,,91.0 km/s,,False
κ Cas,κ,15.0,,2905.0,2599.0,00h 32m 59.99s,+62° 55′ 54.4″,4.17,−6.34,4127.0,B1Ia,"α Cyg variable, Vmax = 4.12m, Vmin = 4.21m, P = 2.65 d",BC0.7 Ia,24600.0 K,33.0 M☉,39.0 R☉,490000.0 L☉,2.79 cgs,58.0 km/s,4.5 Myr,False
θ Cas,θ,33.0,,6961.0,5542.0,01h 11m 05.93s,+55° 08′ 59.8″,4.34,1.22,137.0,A7Vvar,Marfak; suspected variable,A7 V,7954.0 K,1.9 M☉,2.5 R☉,23.0 L☉,3.91 cgs,103.0 km/s,650.0 Myr,False
