Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Cet,β,16,70.0,,4128.0,3419.0,00h 43m 35.23s,−17° 59′ 12.1″,2.04,−0.30,96.0,K0III,"Deneb Kaitos, Diphda, Difda al Thani, Rana Secunda; suspected variable",K0 III,4792.0 K,3.5 M☉,17.52 R☉,149.7 L☉,2.43 cgs,18.0 km/s,460.0 Myr,True
α Cet,α,92,310.0,,18884.0,14135.0,03h 02m 16.78s,+04° 05′ 23.7″,2.54,−1.61,220.0,M2III,"Menkar, Menkab, Mekab, Monkar; irregular variable, Vmax = 2.45m, Vmin = 2.54m",M1.5 IIIa,3738.0 K,1.933 M☉,100.2 R☉,1764.0 L☉,0.66 cgs,6.9 km/s,,True
Mira,ο,68,233.0,,14386.0,10826.0,02h 19m 20.79s,−02° 58′ 37.4″,3.04,−2.60,418.0,M5e-M9e,"Mira Ceti, Collum Ceti; prototype of Mira variables, Vmax = 2.0m, Vmin = 10.1m, P = 331.96 d; has a white dwarf companion",M7 IIIe(M5e-M9e),3192.0 K,1.18 M☉,402.0 R☉,9360.0 L☉,,,6.0 Gyr,True
η Cet,η,31,111.0,,6805.0,5364.0,01h 08m 35.26s,−10° 10′ 54.9″,3.46,0.67,118.0,K2III,"Deneb Algenubi, Dheneb, Deneb, Aoul al Naamat, Prima Struthionum, part of Al Naʽāmāt; spectroscopic binary, has a planet (b)",K2−IIIb,4543.0 K,1.7 M☉,13.2 R☉,74.0 L☉,2.5 cgs,4.8 km/s,1.8 Gyr,True
γ Cet,γ,86,291.0,,16970.0,12706.0,02h 43m 18.12s,+03° 14′ 10.2″,3.47,1.47,82.0,A3V,Kaffaljidhma; binary star,A3 V + F3 V + K5,8551.0 K,1.88 M☉,1.9 R☉,21.0 L☉,4.3 cgs,186.0 km/s,647.0 Myr,True
τ Cet,τ,52,177.0,,10700.0,8102.0,01h 44m 05.13s,−15° 56′ 22.4″,3.49,5.68,12.0,G8V,"Thalath al Naamat, Tertia Struthionum, part of Al Naʽāmāt;, has five planets (b, c, d, e and f)",G8V,5320.0 K,0.8 M☉,0.793 R☉,0.488 L☉,4.48 cgs,46.0 d,10.0 Gyr,True
ι Cet,ι,8,33.0,,1522.0,1562.0,00h 19m 25.68s,−08° 49′ 25.8″,3.56,−1.18,290.0,K2III,"Schemali, Deneb Kaitos Shemali; suspected variable",K1.5 IIIorK1 II + (K),4645.0 K,3.7 M☉,30.0 R☉,377.0 L☉,2.1 cgs,0.4 km/s,230.0 Myr,True
θ Cet,θ,45,136.0,,8512.0,6537.0,01h 24m 01.45s,−08° 10′ 57.9″,3.6,0.87,114.0,K0III,"Thanih al Naamat, Secunda Struthionum, part of Al Naʽāmāt; spectroscopic binary",K0 III,4951.0 K,1.8 M☉,10.37 R☉,58.3 L☉,2.7 cgs,2.6 km/s,2.2 Gyr,True
ζ Cet,ζ,55,185.0,,11353.0,8645.0,01h 51m 27.61s,−10° 20′ 05.8″,3.74,−0.76,259.0,K2III,"Baten Kaitos, Rabah al Naamat, Quarta Struthionum, part of Al Naʽāmāt; spectroscopic binary; spectroscopic binary",K0 III Ba0.1,4581.0 K,2.34 M☉,25.0 R☉,240.0 L☉,2.4 cgs,3.2 km/s,1.24 Gyr,True
υ Cet,υ,59,197.0,,12274.0,9347.0,02h 00m 00.22s,−21° 04′ 40.0″,3.99,−0.83,301.0,K5/M0III,part of Al Naʽāmāt; spectroscopic binary,M0III,3822.0 K,1.26 M☉,53.56 R☉,549.6 L☉,1.15 cgs,,6.97 Gyr,True
δ Cet,δ,82,283.0,,16582.0,12387.0,02h 39m 28.95s,+00° 19′ 42.7″,4.08,−2.41,647.0,B2IV,"Al Kaff al Jidhmah III; β Cep variable, Vmax = 4.05m, Vmin = 4.10m, P = 0.161137 d",B2 IV,21900.0 K,8.4 M☉,4.6 R☉,4000.0 L☉,4.05 cgs,7.0 km/s,18.0 Myr,True
π Cet,π,89,296.0,,17081.0,12770.0,02h 44m 07.35s,−13° 51′ 31.2″,4.24,−1.41,441.0,B7IV,Al Sadr al Kaitos IV; Al Sadr al Ketus,B7 Vor B7 IV,12900.0 K,4.4 M☉,4.3 R☉,468.0 L☉,3.8 cgs,20.9 km/s,0.3 Myr,True
μ Cet,μ,87,295.0,,17094.0,12828.0,02h 44m 56.37s,+10° 06′ 51.2″,4.27,2.21,84.0,F1III-IV,Al Kaff al Jidhmah IV; suspected variable,A9IIIp+ K0.5V,7380.0 K,1.66 M☉,2.07 R☉,10.1 L☉,3.92 cgs,45.1 km/s,1.2 Gyr,True
