Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Cha,α,,71243.0,40702.0,08h 18m 31.27s,−76° 55′ 11.9″,4.05,2.60,63.0,F5III,,F5 V Fe-0.8,6580.0 K,1.42 M☉,2.11 R☉,7.542 L☉,4.28 cgs,0.0 km/s,1.8 Gyr,True
γ Cha,γ,,92305.0,51839.0,10h 35m 28.22s,−78° 36′ 28.1″,4.11,−1.40,413.0,M0III,suspected variable,K5 III,4035.0 K,,67.0 R☉,864.0 L☉,,,,True
β Cha,β,,106911.0,60000.0,12h 18m 20.94s,−79° 18′ 44.2″,4.24,−0.36,271.0,B5Vn,suspected variable,B4 V,14495.0 K,5.0 M☉,2.84 R☉,212.0 L☉,4.03 cgs,255.0 km/s,22.7 Myr,True
θ Cha,θ,,71701.0,40888.0,08h 20m 38.89s,−77° 29′ 04.5″,4.34,0.97,154.0,K0III-IV,double star,K2 IIIb CN0.5,4570.0 K,0.94 M☉,11.5 R☉,60.0 L☉,2.29 cgs,,,False
δ2 Cha,δ2,,93845.0,52633.0,10h 45m 47.14s,−80° 32′ 24.7″,4.45,−0.79,363.0,B2.5IV,,B3 Vor B2.5 IV,15873.0 K,5.0 M☉,3.9 R☉,503.0 L☉,,,32.6 Myr,False
ε Cha,ε,,104174.0,58484.0,11h 59m 37.69s,−78° 13′ 18.5″,4.88,−0.36,364.0,B9Vn,double star,B9 Vn:,10617.0 K,2.87 M☉,2.3 R☉,99.7 L☉,,265.0 km/s,2.8 Myr,False
κ Cha,κ,,104902.0,58905.0,12h 04m 46.66s,−76° 31′ 09.0″,5.04,−0.61,441.0,K4III,"variable star, ΔV = 0.005m, P = 3.89651 d",K4III,3990.0 K,1.4 M☉,46.12 R☉,485.7 L☉,,<1.0 km/s,,False
ζ Cha,ζ,,83979.0,46928.0,09h 33m 53.51s,−80° 56′ 28.7″,5.07,−1.02,539.0,B5V,"β Cep variable, Vmax = 5.06m, Vmin = 5.17m, P = 1.07964 d",B5V,15655.0 K,3.12 M☉,4.75 R☉,522.0 L☉,3.55 cgs,103.0 km/s,184.0 Myr,False
ι Cha,ι,,82554.0,46107.0,09h 24m 09.73s,−80° 47′ 13.9″,5.34,1.58,184.0,F3/F5IV,,F3/5 III/V,6429.0 K,,3.63 R☉,20.244 L☉,,129.7 km/s,1.2 Gyr,False
ν Cha,ν,,85396.0,47956.0,09h 46m 20.42s,−76° 46′ 33.5″,5.43,1.59,191.0,G8III,,G8III,5008.0 K,1.64 M☉,6.5 R☉,23.9 L☉,3.07 cgs,1.2 km/s,,False
