Name,B,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Col,α,38.0,,37795.0,26634.0,05h 39m 38.94s,−34° 04′ 26.6″,2.65,−1.93,268.0,B7IV,"Phact; suspected γ Cas variable, Vmax = 2.62m, Vmin = 2.66m",B9Veor B7 IV,12200.0 K,4.5 M☉,7.0 R☉,1000.0 L☉,3.5 cgs,176.0 km/s,93.0 Myr,True
β Col,β,53.0,,39425.0,27628.0,05h 50m 57.55s,−35° 46′ 09.5″,3.12,1.02,86.0,K1.5III,Wazn,K1 IIICN+1,4545.0 K,1.1 M☉,11.5 R☉,56.0 L☉,2.62 cgs,,2.0 Gyr,True
δ Col,δ,91.0,,44762.0,30277.0,06h 22m 06.85s,−33° 26′ 10.6″,3.85,−0.46,237.0,G7II,,G7 II,5136.0 K,,,149.5 L☉,2.49 cgs,4.8 km/s,,True
ε Col,ε,22.0,,36597.0,25859.0,05h 31m 12.74s,−35° 28′ 13.6″,3.86,−0.79,277.0,K1II/III,,K1 II/IIIor K1 IIIa,4575.0 K,2.47 M☉,25.2 R☉,251.2 L☉,2.05 cgs,,1.53 Gyr,True
η Col,η,66.0,,40808.0,28328.0,05h 59m 08.79s,−42° 48′ 54.4″,3.96,−2.10,531.0,K0III,,G8/K1 IIor K0 III,4620.0 K,3.33 M☉,38.6 R☉,708.0 L☉,1.72 cgs,,,True
γ Col,γ,65.0,,40494.0,28199.0,05h 57m 32.21s,−35° 16′ 59.9″,4.36,−2.73,853.0,B2.5IV,suspected variable,B2.5 IV+ G8 V,15570.0 K,5.7 M☉,4.8 R☉,2070.0 L☉,3.328 cgs,96.0 km/s,23.6 Myr,False
κ Col,κ,84.0,,43785.0,29807.0,06h 16m 33.14s,−35° 08′ 26.6″,4.37,0.63,183.0,G8II,suspected variable,K0.5 IIIa,4876.0 K,1.76 M☉,10.5 R☉,57.5 L☉,2.59 cgs,,1.68 Gyr,False
ο Col,ο,11.0,,34642.0,24659.0,05h 17m 29.02s,−34° 53′ 39.8″,4.81,2.17,110.0,K0/K1III/IV,,K1 IVor K1 III,4936.0 K,1.57 M☉,5.04 R☉,15.5 L☉,3.19 cgs,1.2 km/s,2.17 Gyr,False
λ Col,λ,57.0,,39764.0,27810.0,05h 53m 06.88s,−33° 48′ 05.2″,4.88,−0.22,341.0,B5V,"Tsze; rotating ellipsoidal variable, Vmax = 4.85m, Vmin = 4.92m, P = 0.64 d",B5 V,13524.0 K,4.0 M☉,3.4 R☉,213.0 L☉,4.22 cgs,88.0 km/s,56.6 Myr,False
ξ Col,ξ,61.0,,40176.0,28010.0,05h 55m 29.89s,−37° 07′ 14.2″,4.97,−0.05,328.0,K1IIICN...,,K1 III CNII,4743.0 K,,16.23 R☉,120.0 L☉,2.26 cgs,2.6 km/s,,False
θ Col,θ,79.0,,42167.0,29034.0,06h 07m 31.63s,−37° 15′ 10.5″,5.0,−1.84,762.0,B8:IV,Elkurud,B8 IV,9916.0 K,4.13 M☉,,472.0 L☉,,249.0 km/s,237.0 Myr,False
μ Col,μ,45.0,,38666.0,27204.0,05h 45m 59.89s,−32° 18′ 23.0″,5.18,−2.81,1294.0,B1IV/V,She; runaway star,O9.5 V,33400.0 K,18.9 M☉,6.3 R☉,43650.0 L☉,4.12 cgs,125.0 km/s,4.0 Myr,False
ν2 Col,ν2,34.0,,37495.0,26460.0,05h 37m 44.64s,−28° 41′ 23.3″,5.28,2.14,138.0,F5V,,F5 V,6473.0 K,1.65 M☉,1.6 R☉,10.0 L☉,3.91 cgs,27.2 km/s,1.8 Gyr,False
