Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Com,β,43.0,,114710.0,64394.0,13h 11m 52.92s,+27° 52′ 33.7″,4.26,4.42,30.0,G0V,"suspected BY Dra variable, ΔV = 0.02m",G0 V,5936.0 K,1.15 M☉,1.14 R☉,1.357 L☉,4.38 cgs,12.3 days,2.5 Gyr,True
α Com A,α,42.0,,114378.0,64241.0,13h 09m 59.55s,+17° 31′ 44.8″,4.32,3.54,47.0,F5V,"Diadem, Al Dafirah; double star; suspected Algol variable, Vmax = 4.29m, Vmin = 4.35m, P = 9485.68 d",A: F5V / B: F5V(binary star),6365.0 K,1.237 M☉,,1.72 L☉,4.19 cgs,,,True
γ Com,γ,15.0,,108381.0,60742.0,12h 26m 56.33s,+28° 16′ 07.0″,4.35,0.76,170.0,K2IIICN+...,,K1 III Fe0.5,4660.0 K,1.65 M☉,12.01 R☉,61.4 L☉,2.53 cgs,17.0 km/s,2.72 Gyr,True
11 Com,,11.0,,107383.0,60202.0,12h 20m 43.09s,+17° 47′ 33.6″,4.72,−0.50,361.0,G8III,,K0 IIIorG8+ III Fe-1,4670.0 K,1.66 M☉,15.781 R☉,109.51 L☉,2.38 cgs,,1.53 Gyr,False
36 Com,,36.0,,112769.0,63355.0,12h 58m 55.47s,+17° 24′ 33.7″,4.76,−0.05,299.0,M0III,"suspected variable, Vmax = 4.74m, Vmin = 4.82m",M0.5 III,3890.0 K,,43.0 R☉,372.0 L☉,1.0 cgs,5.8 km/s,,False
12 Com A,,12.0,,107700.0,60351.0,12h 22m 30.32s,+25° 50′ 46.3″,4.78,0.16,273.0,F8:p...,"double star; suspected variable, Vmax = 4.78m, Vmin = 4.89m",G7 III + A3 V,5300.0 K,2.64 M☉,8.36 R☉,56.2 L☉,,,42.0 Myr,False
23 Com,,23.0,,109485.0,61394.0,12h 34m 51.12s,+22° 37′ 45.1″,4.8,−0.44,365.0,A0IV,,A0IV,9675.0 K,2.15 M☉,3.0 R☉,104.0 L☉,3.85 cgs,40.0 km/s,210.0 Myr,False
41 Com,,41.0,,113996.0,64022.0,13h 07m 10.71s,+27° 37′ 29.7″,4.8,−0.04,303.0,K5III,has a planet (b),K5-III,4211.0 K,1.21 M☉,33.75 R☉,323.0 L☉,1.7 cgs,1.8 km/s,4.51 Gyr,False
35 Com,,35.0,,112033.0,62886.0,12h 53m 17.77s,+21° 14′ 42.1″,4.89,−0.10,324.0,G8III,,G5 III + F:,,,,,,,,False
37 Com,,37.0,LU,112989.0,63462.0,13h 00m 16.49s,+30° 47′ 06.1″,4.9,−2.32,898.0,K1IIIp,"RS CVn variable, ΔV = 0.15m",G9 III CH-2 CN-1,4625.0 K,5.25 M☉,38.2 R☉,590.0 L☉,2.3 cgs,111.0 days,,False
14 Com,,14.0,,108283.0,60697.0,12h 26m 24.07s,+27° 16′ 05.7″,4.92,0.30,273.0,F0p,,F0p,7300.0 K,2.4 M☉,23.0 R☉,76.01 L☉,3.4 cgs,226.0 km/s,500.0 Myr,False
7 Com,,7.0,,106714.0,59847.0,12h 16m 20.56s,+23° 56′ 43.5″,4.93,0.52,248.0,K0III,,G8 III–IIIb,5023.0 K,2.37 M☉,10.07 R☉,63.0 L☉,2.95 cgs,2.26 km/s,730.0 Myr,False
31 Com,,31.0,LS,111812.0,62763.0,12h 51m 41.93s,+27° 32′ 26.6″,4.93,0.06,307.0,G0III,"Polaris Galacticum Borealis, Lángjiāng (郎將), FK Com variable, Vmax = 4.87m, Vmin = 4.97m",G0III,5660.0 K,,8.9 R☉,74.0 L☉,3.51 cgs,6.8 d,,False
16 Com,,16.0,,108382.0,60746.0,12h 26m 59.30s,+26° 49′ 32.6″,4.98,0.29,282.0,A4V,,A4 V,8299.0 K,2.54 M☉,3.71 R☉,68.6 L☉,3.67 cgs,80.0 km/s,310.0 Myr,False
24 Com A,,24.0,,109511.0,61418.0,12h 35m 07.76s,+18° 22′ 37.2″,5.03,−1.34,614.0,K2III,"double star; suspected variable, Vmax = 4.98m, Vmin = 5.06m",K0II-III,4688.0 K,4.4 M☉,19.95 R☉,173.3 L☉,2.5 cgs,14.5 km/s,,False
6 Com,,6.0,,106661.0,59819.0,12h 16m 00.23s,+14° 53′ 56.9″,5.09,1.18,198.0,A3V,,,,,,,,,,False
27 Com,,27.0,,111067.0,62356.0,12h 46m 38.75s,+16° 34′ 39.5″,5.12,0.15,322.0,K3III,,,,,,,,,,False
13 Com,,13.0,GN,107966.0,60514.0,12h 24m 18.54s,+26° 05′ 55.0″,5.17,0.47,284.0,A3V,"α² Cvn variable, Vmax = 5.15m, Vmin = 5.18m",A3 V,8846.0 K,2.83 M☉,,60.93 L☉,3.84 cgs,48.0 km/s,429.0 Myr,False
