Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β CrA,β,,178345.0,94160.0,19h 10m 01.75s,−39° 20′ 26.5″,4.1,−1.86,508.0,K0II/IIICN.,suspected variable,K0 II/III CN1.5,4575.0 K,5.17 M☉,38.5 R☉,614.0 L☉,1.26 cgs,6.2 km/s,,True
α CrA,α,,178253.0,94114.0,19h 09m 28.28s,−37° 54′ 15.3″,4.11,1.11,130.0,A0/A1V,"Meridiana (traditionally Alphekka Meridiana, Alfecca Meridiana)",A2V,9916.0 K,2.57 M☉,2.21 R☉,31.0 L☉,4.08 cgs,195.0 km/s,254.0 Myr,True
γ CrA A,γ,,177474.0,93825.0,19h 06m 25.04s,−37° 03′ 45.9″,4.23,2.97,58.0,F7IV-V,double star,F8V + F8V,6090.0 K,1.15 M☉,1.47 R☉,,4.17 cgs,,5.0 Gyr,True
δ CrA,δ,,177873.0,94005.0,19h 08m 20.93s,−40° 29′ 47.9″,4.57,0.93,175.0,K1III,,K1III,4645.0 K,1.5 M☉,11.25 R☉,53.0 L☉,2.59 cgs,,2.8 Gyr,True
θ CrA,θ,,170845.0,90982.0,18h 33m 30.16s,−42° 18′ 44.9″,4.62,−2.50,867.0,G5III,,G8 III,4907.0 K,4.45 M☉,29.1 R☉,411.0 L☉,2.5 cgs,12.0 km/s,,True
ζ CrA,ζ,,176638.0,93542.0,19h 03m 06.83s,−42° 05′ 42.0″,4.74,0.99,184.0,A0Vn,,B9.5 Vann,12039.0 K,2.92 M☉,2.11 R☉,51.0 L☉,4.21 cgs,308.0 km/s,76.0 Myr,True
ε CrA,ε,,175813.0,93174.0,18h 58m 43.47s,−37° 06′ 25.5″,4.83,2.45,98.0,F3IV/V,"W UMa variable, Vmax = 4.74m, Vmin = 5m, P = 0.5914264 d",F4V Fe-0.8,6820.0 K,1.89 M☉,2.14 R☉,8.9 L☉,3.99 cgs,148.5 km/s,2.83 Gyr,False
γ CrA B,γ,,177475.0,,19h 06m 25.10s,−37° 03′ 48.0″,4.99,,,,component of the γ CrA system,F8V + F8V,6090.0 K,1.15 M☉,1.47 R☉,,4.17 cgs,,5.0 Gyr,False
λ CrA,λ,,172777.0,91875.0,18h 43m 46.94s,−38° 19′ 23.9″,5.11,1.15,202.0,A0/A1V,"suspected variable, ΔV = 0.07m",A0/1V+ K0,8609.0 K,2.17 M☉,2.24 R☉,31.25 L☉,4.08 cgs,148.6 km/s,273.0 Myr,False
μ CrA,μ,,173540.0,92226.0,18h 47m 44.60s,−40° 24′ 22.0″,5.2,−0.20,393.0,G5/G6III,,G5/6 III,5448.0 K,3.07 M☉,11.4 R☉,104.0 L☉,3.15 cgs,7.7 km/s,361.0 Myr,False
