Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Cru,β,,111123.0,62434.0,12h 47m 43.32s,−59° 41′ 19.4″,1.25,−3.92,352,B0.5III,"Mimosa, Becrux; binary star or possibly triple star system, 20th brightest of all stars; β Cep variable, Vmax = +1.23m, Vmin = +1.31m, P = 0.2365072 d Probable high-mass member of Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association.",B0.5 III/ B2V,28840.0 K,14.5 M☉,8.9 R☉,25700.0 L☉,3.6 cgs,3.6 days,11.3 Myr,True
α1 Cru (α Cru A),α1,,108248.0,60718.0,12h 26m 35.94s,−63° 05′ 56.6″,1.4,−3.6,321,B0.5IV,"component of Acrux, 23rd brightest star, multiple star, spectroscopic binary. Possible member Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association (debated).",B0.5IV + B1V,28840.0 K,6.05 M☉,7.29 R☉,31110.0 L☉,,124.0 km/s,10.8 Myr,True
γ Cru,γ,,108903.0,61084.0,12h 31m 09.93s,−57° 06′ 45.2″,1.6,−0.56,88,M4III,"Gacrux, SRV, Vmax = +1.60m, Vmin = +1.67m",M3.5 III,3689.0 K,1.5 M☉,73.0 R☉,830.0 L☉,0.75 cgs,,,True
α2 Cru (α Cru B),α2,,108249.0,,12h 26m 36.50s,−63° 05′ 58.0″,2.09,−2.88,321,B1V,component of Acrux. Possible member Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association (debated).,B0.5IV + B1V,28840.0 K,6.05 M☉,7.29 R☉,31110.0 L☉,,124.0 km/s,10.8 Myr,True
δ Cru,δ,,106490.0,59747.0,12h 15m 08.76s,−58° 44′ 56.0″,2.79,−2.45,364,B2IV,"Imai, β Cep variable; Vmax = +2.78m, Vmin = +2.80m, P = 0.151038 d  Member of the Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association.",B2 IV,20400.0 K,8.9 M☉,7.21 R☉,8100.0 L☉,3.88 cgs,210.0 km/s,18.1 Myr,False
ε Cru,ε,,107446.0,60260.0,12h 21m 21.81s,−60° 24′ 04.9″,3.59,−0.63,228,K3/K4III,"Ginan, suspected variable",K3 III,4210.0 K,0.2 M☉,31.0 R☉,282.0 L☉,1.91 cgs,3.14 km/s,2.17 Gyr,False
μ1 Cru,μ1,,112092.0,63003.0,12h 54m 35.66s,−57° 10′ 40.4″,4.03,−1.29,377,B2IV-V,binary star; suspected variable; Member of the Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association.,B2IV-V,21100.0 K,7.7 M☉,3.9 R☉,1123.0 L☉,3.93 cgs,210.0 km/s,9.2 Myr,False
ζ Cru,ζ,,106983.0,60009.0,12h 18m 26.29s,−64° 00′ 11.0″,4.06,−1.16,361,B2.5V,"double star, Member of the Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association.",B2.5V,3832.0 K,6.4 M☉,3.7 R☉,737.0 L☉,,115.0 km/s,20.0 Myr,False
η Cru,η,,105211.0,59072.0,12h 06m 52.85s,−64° 36′ 49.1″,4.14,2.67,64,F2III,double star,F2 V,6830.0 K,1.51 M☉,1.854 R☉,6.901 L☉,4.01 cgs,46.1 km/s,1.63 Gyr,False
θ1 Cru,θ1,,104671.0,58758.0,12h 03m 01.70s,−63° 18′ 46.6″,4.32,0.08,230,Am,spectroscopic binary,A3(m)A8-A8,7341.0 K,1.57 M☉,,81.0 L☉,3.76 cgs,,1.1 Gyr,False
λ Cru,λ,,112078.0,63007.0,12h 54m 39.22s,−59° 08′ 48.0″,4.62,−0.59,360,B4Vn,"β Cep variable, ΔV = 0.02m, P = 0.3951 d, Member of the Lower Centaurus–Crux subgroup of the Scorpius–Centaurus association.",B4 Vne,16500.0 K,5.0 M☉,3.0 R☉,790.0 L☉,3.01 cgs,290.0 km/s,53.3 Myr,False
ι Cru,ι,,110829.0,62268.0,12h 45m 37.92s,−60° 58′ 52.2″,4.69,1.78,125,K1III,optical double,K0 III,4815.0 K,1.45 M☉,6.57 R☉,20.9 L☉,2.92 cgs,,,False
θ2 Cru,θ2,,104841.0,58867.0,12h 04m 19.24s,−63° 09′ 56.6″,4.72,−2.10,753,B2IV,"spectroscopic binary; β Cep variable, Vmax = +4.70m, Vmin = +4.74m, P = 0.0889 d",B3 V,15361.0 K,5.9 M☉,6.9 R☉,1935.0 L☉,3.55 cgs,23.0 km/s,18.5 Myr,False
α Cru C,,,108250.0,,12h 26m 30.90s,−63° 07′ 21.0″,4.86,,,B4IV,probable optical double with the α Cru system; suspected variable,B0.5IV + B1V,28840.0 K,6.05 M☉,7.29 R☉,31110.0 L☉,,124.0 km/s,10.8 Myr,False
CH Cru,,CH,110335.0,61966.0,12h 41m 56.60s,−59° 41′ 08.9″,4.91,−2.60,1035,B6IV,γ Cas variable,B5IIIor B6IV,10600.0 K,5.3 M☉,11.2 R☉,1073.0 L☉,2.9 cgs,240.0 km/s,120.0 [better source needed]Myr,False
