Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Deneb,α,50.0,,197345.0,102098.0,20h 41m 25.91s,+45° 16′ 49.2″,1.25,−8.38,"2,615±215",A2Ia,prototype of α Cyg variables,A2 Ia,8700.0 K,19.0 M☉,203.0 R☉,196000.0 L☉,1.45 cgs,20.0 km/s,11.6 Myr,True
γ Cyg,γ,37.0,,194093.0,100453.0,20h 22m 13.70s,+40° 15′ 24.1″,2.23,−6.12,1523,F8Ib,"Sadr, suspected variable",F8 Iab,5790.0 K,14.5 M☉,183.0 R☉,33023.0 L☉,1.02 cgs,15.0 km/s,12.0 Myr,True
ε Cyg,ε,53.0,,197989.0,102488.0,20h 46m 12.43s,+33° 58′ 10.0″,2.48,0.76,72,K0III,Aljanah,K0 III,4699.0 K,1.103 M☉,11.13 R☉,56.4 L☉,2.79 cgs,0.67 years,9.62 Gyr,True
δ Cyg,δ,18.0,,186882.0,97165.0,19h 44m 58.44s,+45° 07′ 50.5″,2.86,−0.74,171,B9.5III,"Fawaris, Rukh, triple star",A0 IV(B9 III + F1 V),10400.0 K,2.93 M☉,4.81 R☉,155.0 L☉,3.4 cgs,142.0 km/s,,True
Albireo A,β1,6.0,,183912.0,95947.0,19h 30m 43.29s,+27° 57′ 34.9″,3.05,−2.31,385,K3II+...,prominent visual binary with Albireo B; spectroscopic binary,K2II,4383.0 K,5.2 M☉,58.69 R☉,1259.0 L☉,0.93 cgs,8.34 km/s,100.0 Myr,True
ζ Cyg,ζ,64.0,,202109.0,104732.0,21h 12m 56.18s,+30° 13′ 37.5″,3.21,−0.12,151,G8II SB,multiple star,G8IIIa + DA4.2,4910.0 K,3.05 M☉,15.0 R☉,112.0 L☉,2.41 cgs,0.4 km/s,0.2 Gyr,True
ξ Cyg,ξ,62.0,,200905.0,104060.0,21h 04m 55.86s,+43° 55′ 40.3″,3.72,−4.07,1177,K5Ibv SB,,K4:Ib- + A1.5V,4031.0 K,8.0 M☉,220.09 R☉,9889.0 L☉,0.89 cgs,,,True
τ Cyg,τ,65.0,,202444.0,104887.0,21h 14m 47.35s,+38° 02′ 39.6″,3.74,2.14,68,F1IV,multiple star; δ Sct variable,F2 IV + G0 V,6600.0 K,1.65 M☉,2.48 R☉,,3.87 cgs,,,True
ι Cyg,ι,10.0,,184006.0,95853.0,19h 29m 42.34s,+51° 43′ 46.1″,3.76,0.89,122,A5Vn,,A5V,8216.0 K,1.8 M☉,3.83 R☉,34.5 L☉,3.91 cgs,240.0 km/s,577.0 Myr,True
κ Cyg,κ,1.0,,181276.0,94779.0,19h 17m 06.11s,+53° 22′ 05.4″,3.80,0.91,123,K0III,variable,G9 III,5021.0 K,2.35 M☉,8.77 R☉,46.8 L☉,3.02 cgs,1.08 km/s,813.0 Myr,False
