Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Del,β,6.0,,196524.0,101769.0,20h 37m 32.87s,+14° 35′ 42.7″,3.64,1.26,97.0,F5IV,"Rotanev, Rotanen, Venator; spectroscopic binary",F5 III + F5 IV,6587.0 K,1.75 M☉,,24.0 L☉,3.5 cgs,49.8 km/s,1.79 Gyr,True
α Del,α,9.0,,196867.0,101958.0,20h 39m 38.25s,+15° 54′ 43.4″,3.77,−0.57,241.0,B9V,"Sualocin, Scalovin, Svalocin, Nicolaus; binary star; suspected variable, Vmax = 3.77m, Vmin = 3.80m",B9 IV,11643.0 K,3.83 M☉,3.92 R☉,,3.93 cgs,144.0 km/s,227.0 Myr,True
ε Del,ε,2.0,,195810.0,101421.0,20h 33m 12.76s,+11° 18′ 12.0″,4.03,−1.18,359.0,B6III,"Aldulfin, Deneb Dulfim, Deneb, Al Dhanab al Dulfim, Dzaneb al Delphin, Cauda Delphini; suspected variable, Vmax = 3.95m, Vmin = 4.05m",B6 III,13614.0 K,,4.6 R☉,676.0 L☉,3.71 cgs,52.0 km/s,220.0 Myr,True
γ2 Del,γ2,12.0,,197964.0,102532.0,20h 46m 39.52s,+16° 07′ 29.2″,4.27,1.81,101.0,K1IV,binary star with γ1 Del,F7V,6295.0 K,1.61 M☉,2.6 R☉,10.2 L☉,3.79 cgs,7.8 km/s,1.85 Gyr,True
δ Del,δ,11.0,,197461.0,102281.0,20h 43m 27.55s,+15° 04′ 28.9″,4.43,0.45,203.0,A7IIIp d Del,"δ Sct variable, Vmax = 4.38m, Vmin = 4.49m, P = 0.1567924 d",kA7hF1VmF1pSrEuCr:,7440.0 K,1.78 M☉,3.43 R☉,32.4 L☉,3.71 cgs,17.0 km/s,945.0 Myr,True
ζ Del,ζ,4.0,,196180.0,101589.0,20h 35m 18.51s,+14° 40′ 27.1″,4.64,0.43,227.0,A3V,"suspected variable, Vmax = 4.64m, Vmin = 4.70m",A3Va / L5,8236.0 K,2.5 M☉,,48.63 L☉,3.6 cgs,108.0 km/s,525.0 Myr,False
ρ Aql,ρ,67.0,,192425.0,99742.0,20h 14m 16.59s,+15° 11′ 50.9″,4.94,1.58,153.0,A2V,Tso Ke; recently moved into Delphinus due to proper motion,A2 V,8900.0 K,1.94 M☉,1.95 R☉,22.0 L☉,4.2 cgs,180.0 km/s,300.0 Myr,False
κ Del,κ,7.0,,196755.0,101916.0,20h 39m 07.59s,+10° 05′ 10.1″,5.07,2.68,98.0,G5IV+...,,G1IV + ? + K2IV,5643.0 K,1.43 M☉,,8.3 L☉,3.69 cgs,1.77 km/s,3.1 Gyr,False
γ1 Del,γ1,12.0,,197963.0,102531.0,20h 46m 38.87s,+16° 07′ 28.6″,5.15,2.65,103.0,A2Ia+...,binary star with γ2 Del,F7V,6295.0 K,1.61 M☉,2.6 R☉,10.2 L☉,3.79 cgs,7.8 km/s,1.85 Gyr,False
17 Del,,17.0,,199253.0,103294.0,20h 55m 36.68s,+13° 43′ 17.6″,5.19,−0.62,474.0,K0III,"suspected variable, Vmax = 5.16m, Vmin = 5.27m",K0 III,4616.0 K,2.33 M☉,23.36 R☉,219.0 L☉,2.07 cgs,3.0 km/s,832.0 Myr,False
