Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α For,α,,20010.0,14879.0,03h 12m 04.28s,−28° 59′ 20.8″,3.85,3.05,46.0,F8V,"12 Eri, Dalim, Fornacis; binary star; component B is a suspected variable, Vmax = 6m, Vmin = 8m",F6V + G7V,6240.0 K,1.33 M☉,2.04 R☉,4.87 L☉,4.27 cgs,3.9 km/s,2.9 Gyr,True
β For,β,,17652.0,13147.0,02h 49m 05.36s,−32° 24′ 22.6″,4.45,0.88,169.0,G8III,double star,G8 III,4790.0 K,1.33 M☉,10.45 R☉,51.3 L☉,2.67 cgs,2.19 km/s,3.27 Gyr,True
ν For,ν,,12767.0,9677.0,02h 04m 29.43s,−29° 17′ 48.6″,4.68,−0.54,361.0,B9.5p (Si),"α2 CVn variable, Vmax = 4.68m, Vmin = 4.73m, P = 1.89 d",B9.5IIIspSi,13400.0 K,3.65 M☉,3.44 R☉,245.0 L☉,,1.89 d,,False
ω For,ω,,16046.0,11918.0,02h 33m 50.71s,−28° 13′ 56.4″,4.96,−0.76,453.0,B9V,double star,B9V,10910.0 K,3.42 M☉,2.81 R☉,268.0 L☉,,85.0 km/s,,False
δ For,δ,,23227.0,17304.0,03h 42m 14.90s,−31° 56′ 18.2″,4.99,−1.77,733.0,B5III,,B5 III,16230.0 K,5.9 M☉,6.0 R☉,1291.0 L☉,,185.0 km/s,63.1 Myr,False
φ For,φ,,15427.0,11477.0,02h 28m 01.69s,−33° 48′ 39.8″,5.13,1.78,153.0,A2/A3V,,A2.5V,9449.0 K,2.11 M☉,1.74 R☉,16.66 L☉,4.27 cgs,116.8 km/s,238.0 Myr,False
κ For,κ,,14802.0,11072.0,02h 22m 32.42s,−23° 48′ 58.7″,5.19,3.48,71.0,G2V,spectroscopic binary,G1V-IV,5853.0 K,1.2 M☉,,,3.99 cgs,,5.7 Gyr,False
μ For,μ,,13709.0,10320.0,02h 12m 54.46s,−30° 43′ 25.8″,5.27,0.23,332.0,A0V,,A0 V,9977.0 K,2.55 M☉,2.9 R☉,75.0 L☉,3.92 cgs,320.0 km/s,188.0 Myr,False
π For,π,,12438.0,9440.0,02h 01m 14.80s,−30° 00′ 05.6″,5.34,0.68,278.0,G8III,,G8 III,5048.0 K,1.32 M☉,10.408 R☉,58.7 L☉,2.75 cgs,0.92 km/s,2.97 Gyr,False
γ2 For,γ2,,17729.0,13202.0,02h 49m 54.15s,−27° 56′ 31.3″,5.39,−0.76,554.0,A1V,,A1 V,9000.0 K,2.4 M☉,4.488 R☉,117.073 L☉,3.5 cgs,149.0 km/s,401.0 Myr,False
η3 For,η3,,17829.0,13265.0,02h 50m 40.40s,−35° 40′ 32.6″,5.48,−0.58,531.0,K2III,,K2III,4717.0 K,3.7 M☉,21.9 R☉,249.0 L☉,2.27 cgs,<1.0 km/s,217.0 Myr,False
ρ For,ρ,,23940.0,17738.0,03h 47m 56.02s,−30° 10′ 02.4″,5.52,0.83,282.0,G6III,"suspected variable, Vmax = 5.45m, Vmin = 5.55m",G6III,4815.0 K,1.24 M☉,10.192 R☉,50.28 L☉,2.43 cgs,,4.67 Gyr,False
AI For,,AI,20729.0,15479.0,03h 19m 34.90s,−24° 07′ 22.2″,5.63,−2.15,1173.0,M1III,semiregular variable,,,,,,,,,False
ζ For,ζ,,18692.0,13942.0,02h 59m 36.07s,−25° 16′ 27.6″,5.69,3.14,105.0,F3V,binary star,F4 V,6699.0 K,1.8 M☉,1.62 R☉,4.77 L☉,4.16 cgs,84.9 km/s,1.5 Gyr,False
χ2 For,χ2,,21574.0,16112.0,03h 27m 33.37s,−35° 40′ 52.8″,5.71,−0.06,464.0,K2III,suspected variable,K2 III,4477.0 K,1.18 M☉,23.58 R☉,194.0 L☉,1.83 cgs,<1.0 km/s,,False
ι1 For,ι1,,16307.0,12122.0,02h 36m 09.28s,−30° 02′ 41.9″,5.74,−0.76,649.0,G8/K0III,,G8/K0III,4942.0 K,3.73 M☉,18.95 R☉,193.0 L☉,2.46 cgs,,,False
