Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Alphard,α,30,140.0,,81797.0,46390.0,09h 27m 35.25s,−08° 39′ 31.3″,1.99,−1.69,177.0,K3III,"Alfard, Kalbelaphard, Cor Hydrae, Soheil al Fard, Soheil Solitarius",K3IIIa,4117.0 K,3.2 M☉,57.59 R☉,971.0 L☉,1.77 cgs,2991.0 days,420.0 Myr,True
γ Hya,γ,46,345.0,,115659.0,64962.0,13h 18m 55.25s,−23° 10′ 17.1″,2.99,−0.05,132.0,G8III,Dhanab al Shudja; Cauda Hydrae,G8 III,5127.0 K,2.9 M☉,12.47 R☉,96.8 L☉,2.94 cgs,8.0 km/s,372.0 Myr,True
ζ Hya,ζ,16,77.0,,76294.0,43813.0,08h 55m 23.68s,+05° 56′ 43.9″,3.11,−0.21,151.0,G8III-IV,Hydrobius; Minazal V,G9 II-III,4996.0 K,3.09 M☉,17.61 R☉,174.2 L☉,2.48 cgs,2.5 km/s,370.0 Myr,True
ν Hya,ν,,254.0,,93813.0,52943.0,10h 49m 37.43s,−16° 11′ 38.9″,3.11,−0.03,138.0,K0/K1III,,K0/K1 III,4335.0 K,2.0 M☉,21.0 R☉,151.0 L☉,2.3 cgs,5.3 km/s,,True
π Hya,π,49,368.0,,123123.0,68895.0,14h 06m 22.27s,−26° 40′ 55.3″,3.25,0.79,101.0,K2III,,K1 III–IVorK2-III Fe-0.5,4565.0 K,1.4 M☉,12.49 R☉,60.8 L☉,2.4 cgs,2.25 km/s,6.29 Gyr,True
ε Hya,ε,11,59.0,,74874.0,43109.0,08h 46m 46.65s,+06° 25′ 08.1″,3.38,0.29,135.0,G0III-IV,"Ashlesha, BY Draconis variable",AB: G5 III + F0 VC: F5,5084.0 K,2.094 M☉,7.92 R☉,44.0 L☉,3.0 cgs,19.0 km/s,1.15 Gyr,True
ξ Hya,ξ,,288.0,,100407.0,56343.0,11h 33m 00.26s,−31° 51′ 27.1″,3.54,0.55,129.0,G8III,,G7 III,5034.0 K,2.94 M☉,10.28 R☉,61.0 L☉,2.78 cgs,2.7 km/s,510.0 Myr,True
λ Hya,λ,41,201.0,,88284.0,49841.0,10h 10m 35.40s,−12° 21′ 13.8″,3.61,0.88,115.0,K0III,,K0IIIbCN0.5,4656.0 K,2.0 M☉,8.62 R☉,39.8 L☉,2.64 cgs,1.9 km/s,,True
μ Hya,μ,42,221.0,,90432.0,51069.0,10h 26m 05.51s,−16° 50′ 09.9″,3.83,−0.58,248.0,K4III,,K4 III,3999.0 K,,45.0 R☉,332.0 L☉,1.5 cgs,6.0 km/s,,True
θ Hya,θ,22,108.0,,79469.0,45336.0,09h 14m 21.79s,+02° 18′ 54.1″,3.89,0.91,129.0,B9.5V,,B9.5 V + DA 1.6,10099.0 K,2.52 M☉,,52.0 L☉,3.8 cgs,95.0 km/s,,True
