Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Hyi,β,,2151.0,2021.0,00h 25m 39.20s,−77° 15′ 18.1″,2.79,3.45,24.0,G2IV,"suspected variable, Vmax = 2.75m, Vmin = 2.81m",G2 IV,5917.0 K,1.107 M☉,1.831 R☉,3.45 L☉,3.97 cgs,23.0 days,7.5 Gyr,True
α Hyi,α,,12311.0,9236.0,01h 58m 45.87s,−61° 34′ 11.7″,2.86,1.16,71.0,F0V,Head of Hydrus,F0 IV,7059.0 K,2.1 M☉,3.27 R☉,21.0 L☉,3.64 cgs,118.0 km/s,810.0 Myr,True
γ Hyi,γ,,24512.0,17678.0,03h 47m 14.23s,−74° 14′ 21.3″,3.26,−0.83,214.0,M2III,Foo Pih; semiregular variable,M1 III,3499.0 K,1.0 M☉,62.0 R☉,513.0 L☉,0.84 cgs,,,True
δ Hyi,δ,,15008.0,11001.0,02h 21m 45.02s,−68° 39′ 33.9″,4.08,0.99,135.0,A3V,,A2 V,9880.0 K,2.25 M☉,2.3 R☉,39.52 L☉,3.98 cgs,162.0 km/s,209.0 Myr,False
ε Hyi,ε,,16978.0,12394.0,02h 39m 35.22s,−68° 16′ 01.0″,4.12,0.76,153.0,B9III,,B9 Va,10970.0 K,2.64 M☉,2.2 R☉,60.0 L☉,4.33 cgs,96.0 km/s,133.0 Myr,False
η2 Hyi,η2,,11977.0,8928.0,01h 54m 56.01s,−67° 38′ 50.9″,4.68,0.57,217.0,G5III,has a planet (b),G8IIIb,4932.0 K,2.08 M☉,11.17 R☉,65.92 L☉,2.71 cgs,2.4 km/s,0.87 Gyr,False
ν Hyi,ν,,18293.0,13244.0,02h 50m 28.54s,−75° 04′ 00.8″,4.76,−0.26,329.0,K3III,,K3III,4612.0 K,1.79 M☉,21.23 R☉,183.8 L☉,3.3 cgs,50.0 d,2.38 Gyr,False
ζ Hyi,ζ,,17566.0,12876.0,02h 45m 32.53s,−67° 37′ 00.2″,4.83,0.05,295.0,A2IV/V,,A2IV,9144.0 K,2.44 M☉,3.9 R☉,79.55 L☉,3.72 cgs,116.0 km/s,,False
λ Hyi,λ,,4815.0,3781.0,00h 48m 35.12s,−74° 55′ 24.1″,5.09,1.10,205.0,K5III,,,,,,,,,,False
μ Hyi,μ,,16522.0,11757.0,02h 31m 40.12s,−79° 06′ 33.3″,5.27,0.51,292.0,G4III,,,,,,,,,,False
θ Hyi,θ,,19400.0,14131.0,03h 02m 15.40s,−71° 54′ 09.0″,5.51,−0.52,525.0,B8III/IV,,B8 III/IV,13350.0 K,,,287.0 L☉,3.76 cgs,4.372 d,211.0 Myr,False
ι Hyi,ι,,21024.0,15201.0,03h 15m 57.36s,−77° 23′ 19.0″,5.51,3.17,96.0,F4IV-V,,,,,,,,,,False
π1 Hyi,π1,,14141.0,10418.0,02h 14m 14.50s,−67° 50′ 29.6″,5.57,−1.21,739.0,M1III,"suspected variable, Vmax = 5.52m, Vmin = 5.58m",,,,,,,,,False
π2 Hyi,π2,,14287.0,10513.0,02h 15m 28.56s,−67° 44′ 46.8″,5.67,−0.11,468.0,K2III,,,,,,,,,,False
BN Hyi,,BN,20313.0,14521.0,03h 07m 31.90s,−78° 59′ 21.9″,5.7,1.26,248.0,F2II-III,"δ Sct variable, ΔV = 0.02m",,,,,,,,,False
κ Hyi,κ,,15248.0,11095.0,02h 22m 52.47s,−73° 38′ 45.0″,5.99,1.05,318.0,K0III,suspected variable,,,,,,,,,False
τ2 Hyi,τ2,,11604.0,8366.0,01h 47m 46.69s,−80° 10′ 34.2″,6.05,2.09,202.0,F0III,,,,,,,,,,False
σ Hyi,σ,,12363.0,8991.0,01h 55m 50.25s,−78° 20′ 55.2″,6.15,3.07,135.0,F5/F6IV/V,,,,,,,,,,False
CT Hyi,,CT,24188.0,17543.0,03h 45m 23.70s,−71° 39′ 29.7″,6.26,0.50,463.0,B8V,α2 CVn variable,,,,,,,,,False
τ1 Hyi,τ1,,10859.0,7879.0,01h 41m 21.29s,−79° 08′ 53.7″,6.33,0.91,395.0,G6/G8III,,,,,,,,,,False
CN Hyi,,CN,17653.0,12884.0,02h 45m 36.97s,−71° 14′ 09.4″,6.66,,195.8,F6V,W UMa variable,,,,,,,,,False
η1 Hyi,η1,,11733.0,8751.0,01h 52m 34.74s,−67° 56′ 40.2″,6.77,−0.03,748.0,B9V,suspected variable,B9 V,10445.0 K,2.7 M☉,2.8 R☉,83.0 L☉,3.98 cgs,,311.0 Myr,False
HD 19918,,BT,19918.0,14026.0,03h 00m 37.09s,−81° 54′ 07.3″,9.35,,801.0,Ap...,rapidly oscillating Ap star,,,,,,,,,False
VW Hyi,,VW,,,04h 09m 11.39s,−71° 17′ 41.3″,14.4,,,,"SU UMa variable, Vmax = 8.4m, Vmin = 14.4m, P = 0.074271 d",,,,,,,,,False
WX Hyi,,WX,,,02h 09m 50.84s,−63° 18′ 39.9″,14.85,,,,"SU UMa variable, Vmax = 9.6m, Vmin = 14.85m, P = 0.074813 d",,,,,,,,,False
BL Hyi,,BL,,,01h 41m 00.38s,−67° 53′ 27.4″,14.9,,,Am,"AM Her variable and eclipsing binary, Vmax = 14.3m, Vmin = 18.6m, P = 0.078915 d",,,,,,,,,False
