Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Lac,α,7.0,,213558.0,111169.0,22h 31m 17.38s,+50° 16′ 56.8″,3.76,1.28,102,A1V,,A1 V,9050.0 K,2.194 M☉,2.1432 R☉,27.675 L☉,4.27 cgs,128.0 km/s,400.0 Myr,True
1 Lac,,1.0,,211388.0,109937.0,22h 15m 58.17s,+37° 44′ 55.4″,4.14,−2.28,627,K3III,suspected variable,K3 II-III,4288.0 K,4.16 M☉,69.01 R☉,1453.0 L☉,2.15 cgs,10.0 km/s,170.0 Myr,True
5 Lac,,5.0,V412,213310.0,111022.0,22h 29m 31.82s,+47° 42′ 24.8″,4.34,−3.42,1164,M0II,slow irregular variable,K6–M0I + B7/8V,3790.0 K,5.11 M☉,427.0 R☉,25100.0 L☉,,50.0 km/s,110.0 Myr,True
β Lac,β,3.0,,212496.0,110538.0,22h 23m 33.64s,+52° 13′ 46.2″,4.42,0.84,170,G9III,,G8 III,4803.0 K,0.97 M☉,10.96 R☉,57.7 L☉,2.43 cgs,<17.0 km/s,6.76 Gyr,True
11 Lac,,11.0,,214868.0,111944.0,22h 40m 30.78s,+44° 16′ 34.6″,4.5,−0.33,302,K3III,"variable star, ΔV = 0.003m, P = 17.30403 d",K2.5 III,4352.0 K,1.38 M☉,29.5 R☉,279.0 L☉,1.56 cgs,8.0 km/s,3.2 Gyr,True
6 Lac,,6.0,,213420.0,111104.0,22h 30m 29.26s,+43° 07′ 24.2″,4.52,−3.60,1370,B2IV,,B2 IV,21150.0 K,12.5 M☉,6.9 R☉,34590.0 L☉,3.56 cgs,70.0 km/s,15.7 Myr,False
2 Lac,,2.0,,212120.0,110351.0,22h 21m 01.53s,+46° 32′ 11.6″,4.55,−1.42,509,B6V,"suspected rotating ellipsoidal variable, Vmax = 4.53m, Vmin = 4.56m",B6V(B6IV + B6V),15000.0 K,6.99 M☉,,,3.0 cgs,50.0 km/s,,False
4 Lac,,4.0,,212593.0,110609.0,22h 24m 31.00s,+49° 28′ 35.0″,4.55,−4.51,2117,B9Iab,,A0 Ib,11800.0 K,19.0 M☉,59.0 R☉,62000.0 L☉,2.18 cgs,28.0 km/s,25.1 Myr,False
9 Lac,,9.0,,214454.0,111674.0,22h 37m 22.47s,+51° 32′ 43.3″,4.64,1.03,172,A8IV,,A9VkA7mA6,7614.0 K,1.59 M☉,2.1 R☉,34.6 L☉,3.77 cgs,105.0 km/s,513.0 Myr,False
10 Lac,,10.0,,214680.0,111841.0,22h 39m 15.68s,+39° 03′ 01.0″,4.89,−2.67,1058,O9V,Spectrum anchor point; suspected β Cep variable,O9V,34550.0 K,21.6 M☉,7.4 R☉,69200.0 L☉,4.04 cgs,14.0 km/s,3.55 Myr,False
15 Lac,,15.0,,216397.0,112917.0,22h 52m 01.95s,+43° 18′ 44.5″,4.95,−0.05,326,M0III,,M0 III,3915.0 K,,37.3 R☉,294.5 L☉,1.352 cgs,,,False
V424 Lac,,,V424,216946.0,113288.0,22h 56m 26.00s,+49° 44′ 00.8″,4.99,−3.81,1874,K5Ibvar,slow irregular variable,K5 Ib,3749.0 K,6.8 M☉,288.0 R☉,16600.0 L☉,0.5 cgs,,,False
V416 Lac,,,V416,214665.0,111795.0,22h 38m 37.87s,+56° 47′ 44.6″,5.11,−0.49,430,M4III,slow irregular variable,,,,,,,,,False
13 Lac,,13.0,,215373.0,112242.0,22h 44m 05.49s,+41° 49′ 09.2″,5.11,0.49,274,K0III,,,,,,,,,,False
12 Lac,,12.0,DD,214993.0,112031.0,22h 41m 28.65s,+40° 13′ 31.7″,5.25,−2.90,1393,B2IIIv SB,"β Cep and 53 Per variable, Vmax = 5.16m, Vmin = 5.28m, P = 0.1930924 d",B1.5III,23809.0 K,9.5 M☉,8.4 R☉,8877.0 L☉,3.817 cgs,44.0 km/s,21.8 Myr,False
EW Lac,,,EW,217050.0,113327.0,22h 57m 04.49s,+48° 41′ 02.7″,5.34,−2.30,1098,B4IIIpe,"γ Cas variable, Vmax = 5.22m, Vmin = 5.48m",B4IIIpe,15230.0 K,5.9 M☉,7.0 R☉,2084.0 L☉,3.54 cgs,340.0 km/s,40.0 Myr,False
