Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
β Lib,β,27,,135742.0,74785.0,15h 17m 00.47s,−09° 22′ 58.3″,2.61,−0.84,160.0,B8V,Zubeneschamali; suspected variable,B8 V,11900.0 K,3.5 M☉,4.77 R☉,413.0 L☉,,250.0 km/s,80.0 Myr,True
α2 Lib,α2,9,,130841.0,72622.0,14h 50m 52.78s,−16° 02′ 29.8″,2.75,0.88,77.0,A3IV,Zubenelgenubi; spectroscopic binary; suspected variable; member of the α Lib system,F3 V,6707.0 K,1.36 M☉,1.4 R☉,3.55 L☉,4.27 cgs,5.95 km/s,1.01 Gyr,True
σ Lib,σ,20,,133216.0,73714.0,15h 04m 04.26s,−25° 16′ 54.7″,3.25,−1.51,292.0,M3/M4III,"previously γ Scorpii, Brachium; semiregular variable, Vmax = 3.2m, Vmin = 3.46m, P = 20 d",M2.5III,3596.0 K,1.9 M☉,108.0 R☉,1800.0 L☉,0.9 cgs,,,True
υ Lib,υ,39,,139063.0,76470.0,15h 37m 01.46s,−28° 08′ 06.3″,3.6,−0.28,195.0,K3III,previously o Scorpii,K3 III,4135.0 K,1.67 M☉,31.5 R☉,309.0 L☉,1.58 cgs,,3.14 Gyr,True
τ Lib,τ,40,,139365.0,76600.0,15h 38m 39.38s,−29° 46′ 39.7″,3.66,−2.01,445.0,B2.5V,,B2.5 V,17990.0 K,7.25 M☉,3.2 R☉,2705.0 L☉,4.33 cgs,134.0 km/s,31.5 Myr,False
γ Lib,γ,38,,138905.0,76333.0,15h 35m 31.54s,−14° 47′ 22.4″,3.91,0.56,152.0,K0III,"Zubenelhakrabi, has two planets",G8.5 III,4826.0 K,1.15 M☉,11.14 R☉,72.0 L☉,2.81 cgs,1.6 km/s,4.31 Gyr,False
θ Lib,θ,46,,142198.0,77853.0,15h 53m 49.48s,−16° 43′ 46.6″,4.13,0.64,163.0,K0III,,G9IIIb,4739.0 K,1.47 M☉,12.27 R☉,68.1 L☉,2.44 cgs,0.0 km/s,3.4 Gyr,False
16 Lib,,16,,132052.0,73165.0,14h 57m 11.06s,−04° 20′ 45.9″,4.47,2.24,91.0,F0V,,F2 V,7187.0 K,1.47 M☉,,9.77 L☉,3.99 cgs,113.3 km/s,660.0 Myr,False
ι1 Lib,ι1,24,,134759.0,74392.0,15h 12m 13.31s,−19° 47′ 29.9″,4.54,−0.77,376.0,Asp...,"α2 CVn variable, Vmax = 4.53m, Vmin = 4.56m, P = 3.10 d",B9IVpSi + B9+ G5IV,,3.61 M☉,,,,,,False
37 Lib,,37,,138716.0,76219.0,15h 34m 10.52s,−10° 03′ 50.3″,4.61,2.30,94.0,K1IV,,K1III–IV,4809.0 K,1.38 M☉,5.133 R☉,12.71 L☉,3.19 cgs,2.02 km/s,3.39 Gyr,False
κ Lib,κ,43,,139997.0,76880.0,15h 41m 56.82s,−19° 40′ 42.9″,4.75,−0.69,400.0,K5III,"Rì (日), suspected variable",K5 III,3875.0 K,1.6 M☉,38.0 R☉,388.0 L☉,1.35 cgs,,,False
δ Lib,δ,19,,132742.0,73473.0,15h 00m 58.39s,−08° 31′ 08.2″,4.91,0.06,304.0,B9.5V,"Zuben Elakribi or Mululizu; Algol variable, Vmax = 4.91m, Vmin = 5.9m, P = 2.33 d",B9.5V,10520.0 K,3.78 M☉,3.6 R☉,155.0 L☉,,,0.5 Gyr,False
ε Lib,ε,31,,137052.0,75379.0,15h 24m 11.93s,−10° 19′ 18.8″,4.92,2.37,106.0,F5IV,,F3 Vor F5 IV,6552.0 K,1.17 M☉,2.159 R☉,9.3 L☉,4.13 cgs,10.0 km/s,1.5 Gyr,False
11 Lib,,11,,130952.0,72631.0,14h 51m 01.02s,−02° 17′ 55.9″,4.93,0.82,216.0,G8...,"RS CVn variable, Vmax = 4.91m, Vmin = 4.95m, P = 60.55 d",K0 III-IV,4749.0 K,1.1 M☉,10.32 R☉,59.0 L☉,2.42 cgs,3.74 km/s,5.05 Myr,False
48 Lib,,48,FX,142983.0,78207.0,15h 58m 11.38s,−14° 16′ 45.5″,4.95,−1.03,513.0,B8Ia/Iab,"γ Cas variable, Vmax = 4.74m, Vmin = 4.96m",B3 Vsh,18000.0 K,6.07 M☉,4.12 R☉,1100.0 L☉,3.71 cgs,9.6 hours,10.0 Myr,False
42 Lib,,42,,139663.0,76742.0,15h 40m 16.91s,−23° 49′ 05.0″,4.97,−0.37,381.0,K3III,suspected variable,K3-III CN2,4332.0 K,,25.9 R☉,213.6 L☉,2.3 cgs,,,False
λ Lib,λ,45,,142096.0,77811.0,15h 53m 20.06s,−20° 10′ 01.2″,5.03,−0.16,356.0,B3V,"α2 CVn variable, ΔV = 0.02m, P = 3.31 d[dubious – discuss]",B3 V,18700.0 K,5.01 M☉,3.9 R☉,743.0 L☉,4.75 cgs,155.0 km/s,282.0 Myr,False
36 Lib,,36,,138688.0,76259.0,15h 34m 37.31s,−28° 02′ 48.9″,5.13,−0.14,369.0,K2/K3III,,,,,,,,,,False
α1 Lib,α1,8,,130819.0,72603.0,14h 50m 41.26s,−15° 59′ 49.5″,5.15,3.28,77.0,F3V,spectroscopic binary; member of the α Lib system,F3 V,6707.0 K,1.36 M☉,1.4 R☉,3.55 L☉,4.27 cgs,5.95 km/s,1.01 Gyr,False
HR 5780,,,IU,138764.0,76243.0,15h 34m 26.53s,−09° 11′ 00.1″,5.16,0.00,351.0,B6IV,"slowly pulsating B star, Vmax = 5.14m, Vmin = 5.19m, P = 1.26 d",,,,,,,,,False
ν Lib,ν,21,,133774.0,73945.0,15h 06m 37.62s,−16° 15′ 24.3″,5.19,−1.66,765.0,K5III,Zuben Hakrabim,,,,,,,,,False
12 Lib,,12,,131430.0,72929.0,14h 54m 20.14s,−24° 38′ 31.7″,5.27,−0.09,384.0,K2/K3III,,,,,,,,,,False
μ Lib,μ,7,,130559.0,72489.0,14h 49m 19.09s,−14° 08′ 56.3″,5.32,1.03,235.0,Ap,α2 CVn variable,A1pSrCrEu + A6m,9592.0 K,2.31 M☉,2.59 R☉,41.7 L☉,,29.0 km/s,417.0 Myr,False
41 Lib,,41,,139446.0,76628.0,15h 38m 54.51s,−19° 18′ 06.2″,5.36,0.27,340.0,G8III/IV,,,,,,,,,,False
η Lib,η,44,,140417.0,77060.0,15h 44m 04.42s,−15° 40′ 21.6″,5.41,2.14,147.0,A6IV,Zuben Hakrabi,,,,,,,,,False
49 Lib,,49,,143333.0,78400.0,16h 00m 19.98s,−16° 31′ 56.6″,5.47,2.89,107.0,F7V,"variable star, ΔV = 0.004m, P = 0.45 d",F8 V,6190.0 K,1.55 M☉,1.86 R☉,4.74 L☉,3.93 cgs,9.2 km/s,12.0 Gyr,False
ξ2 Lib,ξ2,15,,131918.0,73133.0,14h 56m 46.11s,−11° 24′ 35.0″,5.48,−0.61,538.0,K4III,,,,,,,,,,False
ζ4 Lib,ζ4,35,,138485.0,76126.0,15h 32m 55.23s,−16° 51′ 10.1″,5.53,−1.33,769.0,B3V,suspected variable,,,,,,,,,False
30 Ser,,(30),,141378.0,77464.0,15h 48m 56.81s,−03° 49′ 06.7″,5.53,2.07,160.0,A5IV,,,,,,,,,,False
