Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Lyn,α,40,,80493.0,45860.0,09h 21m 03.46s,+34° 23′ 33.1″,3.14,−1.02,222.0,K7IIIvar,suspected variable,K7 III,3881.0 K,1.52 M☉,58.15 R☉,621.1 L☉,1.06 cgs,6.4 km/s,1.4 Gyr,True
38 Lyn,,38,,80081.0,45688.0,09h 18m 50.67s,+36° 48′ 10.4″,3.82,0.96,122.0,A1V,,A3V(A1V + A4V),8862.0 K,1.9 M☉,3.07 R☉,32.0 L☉,3.86 cgs,163.0 km/s,213.0 Myr,True
10 UMa,,(10),,76943.0,44248.0,09h 00m 38.75s,+41° 47′ 00.4″,3.96,2.88,54.0,F5V,,F3V + K0V,6740.0 K,1.44 M☉,1.518 R☉,4.285 L☉,,,,True
31 Lyn,,31,BN,70272.0,41075.0,08h 22m 50.13s,+43° 11′ 18.1″,4.25,−1.13,389.0,K4.5III,"Alsciaukat, Mabsuthat; semiregular variable, Vmax = 4.21m, Vmin = 4.27m",K4+ III,3921.0 K,1.95 M☉,53.27 R☉,782.4 L☉,1.46 cgs,,1.32 Gyr,True
15 Lyn,,15,,50522.0,33449.0,06h 57m 16.60s,+58° 25′ 23.0″,4.35,0.76,170.0,G5III-IV,,G8III + F8V,5164.0 K,,8.0 R☉,40.0 L☉,3.0 cgs,,,False
2 Lyn,,2,UZ,43378.0,30060.0,06h 19m 37.39s,+59° 00′ 39.3″,4.44,1.14,149.0,A2Vs,"eclipsing binary and δ Sct variable, Vmax = 4.43m, Vmin = 4.73m",A2 Vs,9310.0 K,2.32 M☉,2.2 R☉,39.5 L☉,4.1 cgs,1.56 d,,False
21 Lyn,,21,,58142.0,36145.0,07h 26m 42.86s,+49° 12′ 41.9″,4.61,0.20,249.0,A1V,suspected variable,A0.5Vs,9692.0 K,2.22 M☉,,102.01 L☉,,18.0 km/s,272.0 Myr,False
27 Lyn,,27,,67006.0,39847.0,08h 08m 27.50s,+51° 30′ 24.0″,4.78,0.65,218.0,A2V,suspected variable,A2 V,10014.0 K,2.24 M☉,,65.41 L☉,3.96 cgs,183.0 km/s,157.0 Myr,False
12 Lyn,,12,,48250.0,32438.0,06h 46m 14.15s,+59° 26′ 30.1″,4.86,0.63,229.0,A3V,,A3V(A1.5V + A2V),,,2.52 R☉,,,90.0 km/s,,False
ψ10 Aur,(ψ10),16,,50973.0,33485.0,06h 57m 37.12s,+45° 05′ 38.8″,4.9,0.71,225.0,A2Vn,suspected variable,A0Vn,10395.0 K,2.38 M☉,,56.0 L☉,4.02 cgs,229.0 km/s,181.0 Myr,False
24 Lyn,,24,,61497.0,37609.0,07h 43m 00.46s,+58° 42′ 37.8″,4.93,0.62,237.0,A3IVn,,A3 IVn,8786.0 K,1.89 M☉,1.7 R☉,60.81 L☉,3.25 cgs,233.0 km/s,262.0 Myr,False
1 Lyn,,1,UW,42973.0,29919.0,06h 17m 54.83s,+61° 30′ 55.1″,4.95,−1.34,590.0,M3III,"slow irregular variable, ΔV = 0.11m",M3IIIab,3485.0 K,,156.0 R☉,2848.0 L☉,,,,False
35 Lyn,,35,,75506.0,43531.0,08h 51m 56.84s,+43° 43′ 35.4″,5.15,0.53,274.0,K0III,,,,,,,,,,False
DU Lyn,,,DU,62647.0,37946.0,07h 46m 39.26s,+37° 31′ 02.5″,5.18,0.18,326.0,M3III,"semiregular variable, ΔV = 0.13m",M3 III,3779.0 K,,,536.0 L☉,,,,False
18 Lyn,,18,,55280.0,35146.0,07h 15m 55.02s,+59° 38′ 17.1″,5.2,1.34,193.0,K2III,,,,,,,,,,False
5 Lyn,,5,,44708.0,30679.0,06h 26m 48.88s,+58° 25′ 02.7″,5.21,−1.39,682.0,K4III,,,,,,,,,,False
42 Lyn,,42,,83287.0,47300.0,09h 38m 21.79s,+40° 14′ 23.2″,5.28,2.36,125.0,F0V,,,,,,,,,,False
50 Cam,,(50),,61931.0,37701.0,07h 44m 04.19s,+50° 26′ 01.9″,5.31,−1.32,689.0,A0IIIn,,A0IIInor B9Vn,9974.0 K,3.1 M☉,5.4 R☉,153.0 L☉,3.4 cgs,202.0 km/s,298.0 Myr,False
36 Lyn,,36,EI,79158.0,45290.0,09h 13m 48.23s,+43° 13′ 04.5″,5.32,−0.90,573.0,B8IIIMNp,"SX Arietis variable, ΔV = 0.03m, P = 3.83 d",B9IVpHgMn,13700.0 K,4.2 M☉,4.21 R☉,505.0 L☉,3.65 cgs,3.83476 d,,False
13 Lyn,,13,,48432.0,32489.0,06h 46m 49.49s,+57° 10′ 09.4″,5.34,1.32,208.0,K0III,,,,,,,,,,False
14 Lyn A,,14,,49618.0,33048.0,06h 53m 05.06s,+59° 26′ 55.2″,5.34,−0.31,441.0,G4III...,component of the 14 Lyn system,,,,,,,,,False
22 Lyn,,22,,58855.0,36439.0,07h 29m 55.86s,+49° 40′ 21.6″,5.35,3.86,65.0,F6V,,,,,,,,,,False
34 Lyn,,34,,73593.0,42604.0,08h 41m 01.05s,+45° 50′ 01.6″,5.35,1.64,180.0,G0IV,,,,,,,,,,False
UY Lyn,,,UY,54895.0,34912.0,07h 13m 23.39s,+51° 25′ 43.4″,5.47,−1.40,773.0,M3III,"slow irregular variable, Vmax = 5.47m, Vmin = 5.55m",,,,,,,,,False
26 Lyn,,26,,64144.0,38639.0,07h 54m 42.74s,+47° 33′ 52.5″,5.47,−0.49,508.0,K4III,,,,,,,,,,False
RR Lyn,,,RR,44691.0,30651.0,06h 26m 25.86s,+56° 17′ 06.2″,5.53,0.93,271.0,A3m,"Algol variable, Vmax = 5.52m, Vmin = 6.03m, P = 9.95 d",kA3hA7VmF2+ F0 V,7770.0 K,1.939 M☉,2.564 R☉,21.6 L☉,3.9078 cgs,14.6 km/s,1.08 Gyr,False
43 Lyn,,43,,83805.0,47570.0,09h 42m 00.38s,+39° 45′ 28.7″,5.61,0.52,340.0,G8III,,,,,,,,,,False
29 Lyn,,29,,68930.0,40646.0,08h 17m 50.42s,+59° 34′ 16.1″,5.63,0.78,304.0,A7IV,,,,,,,,,,False
33 Lyn,,33,,72524.0,42090.0,08h 34m 43.90s,+36° 25′ 11.0″,5.76,0.80,321.0,A2Vnn,,,,,,,,,,False
19 Lyn,,19,,57103.0,35785.0,07h 22m 52.06s,+55° 16′ 53.3″,5.8,0.01,468.0,B8V,,B8 V,12078.0 K,3.33 M☉,,166.0 L☉,,70.0 km/s,,False
6 Lyn,,6,,45410.0,31039.0,06h 30m 47.14s,+58° 09′ 48.4″,5.86,2.08,186.0,K0IV,has a planet (b),K0.5 IIIb Fe0.5,4949.0 K,1.37 M☉,5.12 R☉,14.2 L☉,3.17 cgs,1.8 km/s,2.8 Gyr,False
11 Lyn,,11,,46590.0,31665.0,06h 37m 38.40s,+56° 51′ 27.0″,5.87,0.90,322.0,A2V,,,,,,,,,,False
30 Lyn,,30,,69548.0,40875.0,08h 20m 26.00s,+57° 44′ 35.7″,5.89,3.39,103.0,F4V,,,,,,,,,,False
8 Lyn,,8,,46480.0,31676.0,06h 37m 41.64s,+61° 28′ 54.8″,5.94,2.31,173.0,G8IV-V,,,,,,,,,,False
19 UMa,,(19),,79452.0,45412.0,09h 15m 14.36s,+34° 38′ 00.2″,5.98,0.26,455.0,G6III,,,,,,,,,,False
