Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
ν Oct,ν,,205478,107089.0,21h 41m 28.47s,−77° 23′ 22.1″,3.76,2.10,69.0,K0III,"suspected variable, one planet around component A (Ab)",K1IV,4811.0 K,1.57 M☉,5.04 R☉,13.2 L☉,3.23 cgs,2.0 km/s,2.7 Gyr,True
β Oct,β,,214846,112405.0,22h 46m 03.72s,−81° 22′ 53.8″,4.13,0.96,140.0,A9IV/V,,A9IV-V,8006.0 K,2.27 M☉,3.2 R☉,42.0 L☉,4.15 cgs,49.0 km/s,496.0 Myr,True
δ Oct,δ,,124882,70638.0,14h 26m 55.74s,−83° 40′ 04.3″,4.31,−0.35,279.0,K2III,suspected variable,K2III,4311.0 K,1.06 M☉,24.61 R☉,271.0 L☉,1.89 cgs,1.1 km/s,,True
θ Oct,θ,,224889,122.0,00h 01m 35.85s,−77° 03′ 55.1″,4.78,0.63,221.0,K2III,,K3III,4325.0 K,1.2 M☉,15.84 R☉,79.2 L☉,2.16 cgs,<1.0 km/s,,False
ε Oct,ε,BO,210967,110256.0,22h 20m 01.48s,−80° 26′ 22.7″,5.09,0.51,268.0,M6III,"semiregular variable, Vmax = 4.58m, Vmin = 5.3m, P = 55 d",M5III,3560.0 K,1.34 M☉,112.0 R☉,1819.0 L☉,2.15 cgs,,,False
γ1 Oct,γ1,,223647,117689.0,23h 52m 06.69s,−82° 01′ 07.6″,5.1,0.53,267.0,G7III,,G7III,5017.0 K,1.81 M☉,10.3 R☉,60.0 L☉,2.64 cgs,1.8 km/s,,False
α Oct,α,,199532,104043.0,21h 04m 43.03s,−77° 01′ 22.3″,5.13,1.85,148.0,F4III,β Lyr variable,F4III + F5III,6700.0 K,1.9 M☉,2.0 R☉,7.0 L☉,,,1.1 Gyr,False
λ Oct,λ,,206240,107843.0,21h 50m 54.25s,−82° 43′ 07.8″,5.27,−0.36,435.0,G8/K0III+..,,G8-K0III+ kA3hA7VmA8,5048.0 K,,13.23 R☉,102.4 L☉,,1.8 km/s,200.0 Myr,False
γ3 Oct,γ3,,636,814.0,00h 10m 02.27s,−82° 13′ 26.4″,5.29,0.93,242.0,K1/K2III,,K1/2 III,4879.0 K,2.23 M☉,9.94 R☉,50.5 L☉,2.78 cgs,<1.0 km/s,,False
χ Oct,χ,,164461,92824.0,18h 54m 47.65s,−87° 36′ 19.9″,5.29,0.87,250.0,K3III,,K3 III,4266.0 K,1.25 M☉,15.6 R☉,73.6 L☉,2.19 cgs,<1.0 km/s,,False
ξ Oct,ξ,,215573,112781.0,22h 50m 22.75s,−80° 07′ 25.7″,5.32,−0.35,444.0,B6IV,"53 Per variable, Vmax = 5.32m, Vmin = 5.36m, P = 1.76866 d",B6 V(B5/7 V),14050.0 K,4.02 M☉,3.0 R☉,360.0 L☉,4.09 cgs,30.0 km/s,46.0 Myr,False
ζ Oct,ζ,,79837,43908.0,08h 56m 41.88s,−85° 39′ 47.6″,5.43,2.01,157.0,F0III,,A8/9 IVor F0 III,7063.0 K,2.06 M☉,2.25 R☉,12.63 L☉,4.04 cgs,115.0 km/s,1.25 Gyr,False
ι Oct,ι,,111482,63031.0,12h 54m 58.35s,−85° 07′ 24.3″,5.45,0.17,371.0,K0III,,K0III + K0,4890.0 K,2.49 M☉,,81.0 L☉,,1.9 km/s,725.0 Myr,False
σ Oct,σ,,177482,104382.0,21h 08m 46.01s,−88° 57′ 23.4″,5.45,0.86,270.0,F0III,"Polaris Australis, south pole star; δ Sct variable, ΔV = 0.05m, P = 0.097 d",F0 IV,7415.0 K,1.59 M☉,4.4 R☉,44.0 L☉,3.71 cgs,145.0 km/s,912.0 Myr,False
φ Oct,φ,,167468,90133.0,18h 23m 36.44s,−75° 02′ 39.6″,5.47,1.57,197.0,A0V,,A0 V,9352.0 K,2.86 M☉,1.74 R☉,21.1 L☉,4.48 cgs,295.0 km/s,7.0 Myr,False
ψ Oct,ψ,,210853,110078.0,22h 17m 50.70s,−77° 30′ 41.7″,5.49,2.56,125.0,F3III,,F0IIp(F4V:kA5),7244.0 K,1.49 M☉,1.74 R☉,7.82 L☉,4.13 cgs,,1.41 Gyr,False
τ Oct,τ,,219765,115836.0,23h 28m 03.57s,−87° 28′ 56.1″,5.5,−0.52,522.0,K2III,,K2 III,4422.0 K,1.14 M☉,24.0 R☉,223.0 L☉,1.63 cgs,<1.0 km/s,,False
κ Oct,κ,,117374,66753.0,13h 40m 56.18s,−85° 47′ 09.6″,5.56,1.08,256.0,A2m...,,A2 mA5-A8,7943.0 K,2.07 M☉,2.75 R☉,34.83 L☉,3.9 cgs,,354.0 Myr,False
ρ Oct,ρ,,137333,76996.0,15h 43m 16.10s,−84° 27′ 55.8″,5.57,1.45,217.0,A2V,"variable star, ΔV = 0.005m, P = 069147 d",A1/2 V,8881.0 K,1.99 M☉,2.19 R☉,21.0 L☉,4.06 cgs,128.0 km/s,431.0 Myr,False
π1 Oct,π1,,130650,73540.0,15h 01m 50.70s,−83° 13′ 40.0″,5.65,0.27,389.0,G8/K0III,,G8/K0 III,5002.0 K,2.74 M☉,11.62 R☉,76.2 L☉,2.7 cgs,<1.0 km/s,,False
π2 Oct,π2,,131246,73771.0,15h 04m 46.96s,−83° 02′ 17.8″,5.65,−2.98,1734.0,G8Ib,,G8 Ib,4588.0 K,7.0 M☉,69.02 R☉,2709.0 L☉,,5.7 km/s,43.0 Myr,False
γ2 Oct,γ2,,224362,118114.0,23h 57m 32.99s,−82° 10′ 11.1″,5.72,0.80,314.0,K0III,,K0 III,4788.0 K,1.15 M☉,10.54 R☉,52.6 L☉,2.53 cgs,2.8 km/s,,False
υ Oct,υ,,211539,111196.0,22h 31m 37.83s,−85° 58′ 02.6″,5.76,0.73,330.0,K0III,,K0 III,4910.0 K,2.12 M☉,10.3 R☉,56.0 L☉,2.7 cgs,1.5 km/s,,False
ω Oct,ω,,131596,74296.0,15h 11m 08.79s,−84° 47′ 16.2″,5.88,0.93,318.0,B9.5V,,B9.5 V,10759.0 K,2.54 M☉,2.35 R☉,50.5 L☉,4.21 cgs,36.0 km/s,197.0 Myr,False
μ1 Oct,μ1,,196051,102162.0,20h 42m 02.52s,−76° 10′ 50.0″,5.99,0.92,337.0,F4III-IV,,F6 II/III,6521.0 K,1.36 M☉,4.68 R☉,34.3 L☉,3.23 cgs,,900.0 Myr,False
CW Oct,,CW,148542,83255.0,17h 00m 58.44s,−86° 21′ 51.5″,6.05,−0.27,598.0,A2V,α² CVn variable,A3 IV,8791.0 K,2.98 M☉,4.64 R☉,111.0 L☉,3.45 cgs,2.8 days,188.0 Myr,False
η Oct,η,,96124,53702.0,10h 59m 14.16s,−84° 35′ 37.9″,6.19,1.00,356.0,A1V,,A1 Va,9500.0 K,2.37 M☉,2.6 R☉,45.3 L☉,4.1 cgs,152.0 km/s,547.0 Myr,False
R Oct,,R,40857,25412.0,05h 26m 06.12s,−86° 23′ 17.8″,6.4,,1960.0,M5.5e,"Mira variable, Vmax = 6.4m, Vmin = 13.2m, P = 407 d",M5.5e(M5.3e – M8.4e),2571.0 K,6.6 M☉,466.0 R☉,9304.0 L☉,,,,False
BP Oct,,BP,129723,75736.0,15h 28m 20.68s,−88° 07′ 58.1″,6.46,2.45,210.0,Am,"δ Sct variable, ΔV = 0.04m",,,,,,,,,False
μ2 Oct,μ2,,196067,102125.0,20h 41m 43.74s,−75° 21′ 01.5″,6.51,3.31,142.0,G1V,has a planet (b),G1V,6059.0 K,1.33 M☉,1.73 R☉,3.73 L☉,4.24 cgs,26.0 days,3.5 Gyr,False
B Oct,B,CG,206553,112355.0,22h 45m 30.22s,−88° 49′ 05.9″,6.57,1.50,335.0,F0IV-V,δ Sct variable,,,,,,,,,False
BQ Oct,,BQ,110994,71348.0,14h 35m 29.51s,−89° 46′ 18.2″,6.88,,1600.0,"S5,1","slow irregular variable, ΔV = 0.1m",,3520.0 K,2.7 M☉,197.0 R☉,3767.0 L☉,0.31 cgs,,,False
ο Oct,ο,,1348,1007.0,00h 12m 33.96s,−88° 21′ 46.3″,7.21,−1.49,1790.0,B9.5IV,,,,,,,,,,False
CF Oct,,CF,196818,102803.0,20h 49m 37.26s,−80° 08′ 01.0″,7.93,,683.0,K0IIIp,slow irregular variable,,,,,,,,,False
HD 188136,,CC,188136 188137,98757.0,20h 03m 31.75s,−78° 49′ 50.7″,8.01,,620.0,ApSrYZrBa,"δ Sct variable, ΔV = 0.1m, P = 0.1249 d",,,,,,,,,False
