Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Oph,α,55,,,159561.0,86032.0,17h 34m 56.00s,+12° 33′ 38.1″,2.08,1.30,47.0,A5III,"Ras Alhague, Rasalhague",A5IVnn/ K5–7 V,9384.0 (polar)K,2.2 M☉,2.388 (polar)R☉,31.3 L☉,3.91 cgs,0.61 days,0.77 Gyr,True
η Oph,η,35,90,,155125.0,84012.0,17h 10m 22.66s,−15° 43′ 30.5″,2.43,0.37,84.0,A2.5Va,Sabik,A2V + A2V,9000.0 K,2.25 M☉,2.5 R☉,35.0 L☉,3.74 cgs,23.0 km/s,500.0 Myr,True
ζ Oph,ζ,13,28,,149757.0,81377.0,16h 37m 09.53s,−10° 34′ 01.7″,2.54,−3.20,458.0,O9.5V,Han; γ Cas variable; Be star,O9.5 V,39000.0 (polar)K,20.2 M☉,7.5 (polar)R☉,74100.0 L☉,3.58 cgs,400.0 km/s,3.0 Myr,True
δ Oph,δ,1,7,,146051.0,79593.0,16h 14m 20.77s,−03° 41′ 38.3″,2.73,−0.86,170.0,M1III,"Yed Prior, Yad, Jed Prior",M0.5 III,3733.0 K,1.39 M☉,53.5 R☉,502.0 L☉,1.4 cgs,7.0 km/s,,True
β Oph,β,60,168,,161096.0,86742.0,17h 43m 28.38s,+04° 34′ 00.9″,2.76,0.76,82.0,K2III,"Cebalrai, Celbalrai, Celb-al-Rai, Kelb Alrai, Cheleb",K2 III,4559.0 K,1.75 M☉,12.17 R☉,57.7 L☉,2.33 cgs,5.4 km/s,2.75 Gyr,True
κ Oph,κ,27,65,,153210.0,83000.0,16h 57m 40.27s,+09° 22′ 30.2″,3.19,1.09,86.0,K2IIIvar,,K2 III,4449.0 K,1.19 M☉,11.02 R☉,50.67 L☉,2.49 cgs,4.7 km/s,4.92 Gyr,True
ε Oph,ε,2,9,,146791.0,79882.0,16h 18m 19.24s,−04° 41′ 33.4″,3.23,0.64,107.0,G8III,"Yed Posterior, Yad, Jed Posterior",G9.5 IIIb,4918.0 K,1.85 M☉,10.39 R☉,54.0 L☉,2.59 cgs,5.7 km/s,1.01 Gyr,True
θ Oph,θ,42,126,,157056.0,84970.0,17h 22m 00.58s,−24° 59′ 58.2″,3.27,−2.92,563.0,B2IV,β Cep variable,B2 IV,22260.0 K,8.64 M☉,5.23 R☉,6230.0 L☉,3.95 cgs,30.0 km/s,24.0 Myr,True
ν Oph,ν,64,186,,163917.0,88048.0,17h 59m 01.60s,−09° 46′ 24.1″,3.32,−0.03,153.0,K0III,Sinistra; has two brown dwarfs,K0 IIIa CN –1,5000.0 K,2.88 M☉,13.85 R☉,108.2 L☉,2.6 cgs,2.1 km/s,450.0 Myr,True
72 Oph,,72,199,,165777.0,88771.0,18h 07m 21.02s,+09° 33′ 49.2″,3.71,1.69,83.0,A4IVs,,A5 V,8718.0 K,1.99 M☉,1.9 R☉,20.0 L☉,4.04 cgs,65.0 km/s,250.0 Myr,True
