Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
Rigel,β,19.0,,34085,24436.0,05h 14m 32.27s,−08° 12′ 05.9″,0.18,−6.69,773.0,B8Ia + B9V + B9V,"7th brightest star, triple star system; α Cyg variable",B8 Ia,12100.0 K,21.0 M☉,74.1 R☉,120000.0 L☉,1.75 cgs,25.0 km/s,8.0 Myr,True
Betelgeuse,α,58.0,,39801,27989.0,05h 55m 10.29s,+07° 24′ 25.3″,0.42,−6.02,643.0,M2Ib,"9th brightest star on average, semiregular variable, Vmax = 0m, Vmin = 1.3m, P = 2335 d",M1–M2 Ia–ab,3800.0 K,19.0 M☉,764.0 R☉,87100.0 L☉,0.5 cgs,36.0 years,14.0 Myr,True
Bellatrix,γ,24.0,,35468,25336.0,05h 25m 07.87s,+06° 20′ 59.0″,1.64,−2.72,243.0,B2III,suspected variable,B2IIIor B2V,22339.0 K,8.6 M☉,6.4 R☉,7410.0 L☉,3.6 cgs,52.0 km/s,25.2 Myr,True
Alnilam,ε,46.0,,37128,26311.0,05h 36m 12.81s,−01° 12′ 06.9″,1.69,−6.38,1342.0,B0Ia,"α Cyg variable, α Cyg variable, Vmax = 1.64m, Vmin = 1.74m",B0 Ia,25000.0 K,28.4 M☉,22.3 (polar)R☉,271000.0 L☉,3.01 cgs,4.27 days,4.47 Myr,True
Alnitak A,ζ,50.0,,37742,26727.0,05h 40m 45.52s,−01° 56′ 33.3″,1.88,-6.0,817.0,O9.7Ib,component of the Alnitak system; suspected variable,O9.5Iab + B1IV + B0III,29500.0 K,33.0 M☉,20.0 R☉,250000.0 L☉,3.2 cgs,6.67 days,6.4 Myr,True
Saiph,κ,53.0,,38771,27366.0,05h 47m 45.39s,−09° 40′ 10.6″,2.07,−4.65,721.0,B0.5Ia,suspected variable,B0.5 Ia,25700.0 K,21.1 M☉,14.0 R☉,60300.0 L☉,2.7 cgs,83.0 km/s,5.6 Myr,True
Mintaka AB,δ,34.0,,36486,25930.0,05h 32m 00.40s,−00° 17′ 56.7″,2.2,-5.8,916.0,B0III+O9V,"component of the Mintaka system; Algol variable, Vmax = 2.20m, Vmin = 2.32m, P = 5.73 d",O9.5II + B1V +B0IV,31400.0 K,17.8 M☉,13.1 R☉,190000.0 L☉,3.55 cgs,114.0 km/s,,True
ι Ori,ι,44.0,,37043,26241.0,05h 35m 25.98s,−05° 54′ 35.6″,2.75,−5.30,1325.0,O9III,Hatysa,O9 III + B0.8 III/IV+ B2:IV:,31000.0 K,23.18 M☉,9.1 R☉,68000.0 L☉,3.73 cgs,122.0 km/s,5.5 Myr,False
π3 Ori,π3,1.0,,30652,22449.0,04h 49m 50.14s,+06° 57′ 40.5″,3.19,-3.67,26.0,F6V,Tabit; suspected variable,F6 V,6518.0 K,1.288 M☉,1.317 R☉,2.816 L☉,4.31 cgs,17.0 km/s,1.04 Gyr,False
η Ori,η,28.0,,35411,25281.0,05h 24m 28.62s,−02° 23′ 49.7″,3.35,−3.86,901.0,B1V + B2,"Saif al Jabbar, Saiph; β Cep variable, Vmax = 3.31m, Vmin = 3.6m, P = 7.99 d",Aa: B1 VAb: B3 VAc: B3 VB: B2 V,26600.0 K,10.87 M☉,6.477 R☉,,3.851 cgs,20.0 km/s,,False
Meissa A,λ,39.0,,36861,26207.0,05h 35m 08.28s,+09° 56′ 03.0″,3.47,-4.25,1055.0,O8III,component of the Meissa system; suspected variable,O9 III((f)),36000.0 K,34.0 M☉,10.0 R☉,200000.0 L☉,3.9 cgs,,4.2 Myr,False
τ Ori,τ,20.0,,34503,24674.0,05h 17m 36.40s,−06° 50′ 39.8″,3.59,−2.56,554.0,B5III,,B5 III,,6.6 M☉,,,,,,False
π4 Ori,π4,3.0,,30836,22549.0,04h 51m 12.37s,+05° 36′ 18.4″,3.68,−4.25,1259.0,B2III,"variable star, ΔV = 0.003m, P = 1.60 d",B2 III,21874.0 K,10.95 M☉,9.1 R☉,19726.0 L☉,3.59 cgs,38.0 km/s,15.4 Myr,False
Alnitak B,ζ,50.0,,37743,26727.0,05h 40m 45.60s,−01° 56′ 34.0″,3.7,-3.29,817.0,B0III+B1IV,component of the Alnitak system,O9.5Iab + B1IV + B0III,29500.0 K,33.0 M☉,20.0 R☉,250000.0 L☉,3.2 cgs,6.67 days,6.4 Myr,False
π5 Ori,π5,8.0,,31237,22797.0,04h 54m 15.10s,+02° 26′ 26.4″,3.71,−4.36,1342.0,B2III,"rotating ellipsoidal variable, Vmax = 3.66m, Vmin = 3.73m, P = 3.70 d",B2 III,14496.0 K,12.0 M☉,12.0 R☉,11262.0 L☉,3.51 cgs,90.0 km/s,15.8 Myr,False
σ Ori AB,σ,48.0,,37468,26549.0,05h 38m 44.77s,−02° 36′ 00.2″,3.77,−3.96,1148.0,O9.5V,component of the σ Ori system; spectroscopic binary; suspected variable,O9.5V + B0.5V,35000.0 K,18.0 M☉,5.6 R☉,41700.0 L☉,4.2 cgs,135.0 km/s,0.3 Myr,False
ο2 Ori,ο2,9.0,,31421,22957.0,04h 56m 22.32s,+13° 30′ 52.5″,4.06,0.48,169.0,K2III,,K2 IIIb,4498.0 K,,15.0 R☉,79.0 L☉,2.4 cgs,0.0 km/s,5.42 Gyr,False
φ2 Ori,φ2,40.0,,37160,26366.0,05h 36m 54.33s,+09° 17′ 29.1″,4.09,1.33,116.0,G8III-IV,,G8 III-IV,4703.0 K,1.07 M☉,8.22 R☉,29.8 L☉,3.0 cgs,1.91 km/s,6.91 Gyr,False
μ Ori,μ,61.0,,40932,28614.0,06h 02m 22.99s,+09° 38′ 50.5″,4.12,0.78,152.0,Am...,suspected eclipsing binary,A1 Vm,8300.0 K,2.38 M☉,2.85 R☉,32.2 L☉,,10.0 km/s,282.0 Myr,False
29 Ori,e,29.0,,35369,25247.0,05h 23m 56.84s,−07° 48′ 28.6″,4.13,0.49,174.0,G8III,,G8IIIFe-0.5,4920.0 K,1.82 M☉,11.53 R☉,70.0 L☉,2.76 cgs,1.1 km/s,1.42 Gyr,False
32 Ori,A,32.0,,36267,25813.0,05h 30m 47.05s,+05° 56′ 53.6″,4.2,−0.53,288.0,B5V,,B5V + ? + B7V,16020.0 K,5.0 M☉,2.9 R☉,388.0 L☉,4.4 cgs,169.0 km/s,65.0 Myr,False
π2 Ori,π2,2.0,,30739,22509.0,04h 50m 36.72s,+08° 54′ 00.9″,4.35,0.48,194.0,A1Vn,,A1 Vn,9457.0 K,,2.7 R☉,70.0 L☉,4.0 cgs,261.4 km/s,,False
φ1 Ori,φ1,37.0,,36822,26176.0,05h 34m 49.24s,+09° 29′ 22.5″,4.39,−3.01,985.0,B0IV...,,B0 III,30000.0 K,15.5 M☉,6.3 R☉,28840.0 L☉,4.05 cgs,20.0 km/s,7.2 Myr,False
χ1 Ori,χ1,54.0,,39587,27913.0,05h 54m 23.08s,+20° 16′ 35.1″,4.39,4.67,28.0,G0V,"RS CVn variable, Vmax = 4.38m, Vmin = 4.41m",G0 V,5883.0 K,1.01 M☉,0.983 R☉,1.042 L☉,4.47 cgs,5.2 days,400.0 Myr,False
ν Ori,ν,67.0,,41753,29038.0,06h 07m 34.32s,+14° 46′ 06.7″,4.42,−1.65,534.0,B3IV,"variable star, ΔV = 0.008m, P = 1.04 d",B3 Vor B3 IV,17880.0 K,6.7 M☉,4.3 R☉,1965.0 L☉,4.06 cgs,30.0 km/s,26.3 Myr,False
ξ Ori,ξ,70.0,,42560,29426.0,06h 11m 56.40s,+14° 12′ 31.7″,4.45,−2.00,634.0,B3IV,,B3 IV,15476.0 K,6.7 M☉,,1390.0 L☉,,160.0 km/s,32.1 Myr,False
ρ Ori,ρ,17.0,,33856,24331.0,05h 13m 17.48s,+02° 51′ 40.5″,4.46,−0.65,344.0,K3III...,suspected variable,K0 III,4533.0 K,2.67 M☉,25.0 R☉,251.0 L☉,2.4 cgs,,650.0 Myr,False
π6 Ori,π6,10.0,,31767,23123.0,04h 58m 32.90s,+01° 42′ 50.5″,4.47,−2.86,953.0,K2IIvar,suspected variable,K0/1 III,4217.0 K,4.15 M☉,87.73 R☉,2185.6 L☉,1.2 cgs,8.0 km/s,230.0 Myr,False
ω Ori,ω,47.0,,37490,26594.0,05h 39m 11.15s,+04° 07′ 17.3″,4.5,−3.98,1622.0,B3IIIe,"γ Cas variable, Vmax = 4.4m, Vmin = 4.59m",B3 Ve,19000.0 K,7.0 M☉,5.9 R☉,6031.0 L☉,3.59 cgs,1.37 d,43.6 Myr,False
42 Ori,c,42.0,,37018,26237.0,05h 35m 23.16s,−04° 50′ 18.0″,4.58,−2.33,786.0,B2III...,suspected variable,B1V,25400.0 K,12.0 M☉,7.0 R☉,10737.0 L☉,3.82 cgs,20.0 km/s,2.6 Myr,False
ψ2 Ori,ψ2,30.0,,35715,25473.0,05h 26m 50.23s,+03° 05′ 44.4″,4.59,−3.60,1417.0,B2IV,"ellipsoidal variable and possible eclipsing binary, Vmax = 4.55m, Vmin = 4.61m, P = 2.53 d",B2 IV(B1 III + B2 V),25000.0 K,9.6 M☉,,10252.0 L☉,3.5 cgs,95.0 km/s,11.4 Myr,False
υ Ori,υ,36.0,,36512,25923.0,05h 31m 55.86s,−07° 18′ 05.5″,4.62,−3.76,1545.0,B0V,Thabit; suspected β Cep variable,B0Vor O9.7V,33400.0 K,17.5 M☉,5.5 R☉,32360.0 L☉,4.2 cgs,20.0 km/s,4.5 Myr,False
π1 Ori,π1,7.0,,31295,22845.0,04h 54m 53.70s,+10° 09′ 04.1″,4.64,1.80,121.0,A0V,,A3 Va,8900.0 K,1.9 M☉,1.73 R☉,16.91 L☉,4.22 cgs,120.0 km/s,100.0 Myr,False
χ2 Ori,χ2,62.0,,41117,28716.0,06h 03m 55.18s,+20° 08′ 18.5″,4.64,-7.6,1801.0,B2Ia,α Cyg variable,B2Ia,19000.0 K,42.3 M☉,61.9 R☉,446000.0 L☉,2.35 cgs,72.0 km/s,5.0 Myr,False
11 Ori,,11.0,V1032,32549,23607.0,05h 04m 34.14s,+15° 24′ 15.1″,4.65,−0.79,400.0,A0p Si,"α2 CVn variable, Vmax = 4.65m, Vmin = 4.69m, P = 4.64 d",B9 IVorA1 Vp SiCr,9520.0 K,2.7 M☉,4.3 R☉,220.0 L☉,3.6 cgs,63.3 km/s,,False
ο1 Ori,ο1,4.0,,30959,22667.0,04h 52m 31.96s,+14° 15′ 02.8″,4.71,−1.39,542.0,M3Sv,"semiregular variable, Vmax = 4.65m, Vmin = 4.88m, P = 30 d",M3S III,3465.0 K,0.9 M☉,214.0 R☉,4046.0 L☉,0.76 cgs,,,False
31 Ori,,31.0,CI,36167,25737.0,05h 29m 43.98s,−01° 05′ 31.8″,4.71,−1.02,456.0,K5III,"semiregular variable, Vmax = 4.68m, Vmin = 4.72m, P = 141 d",K5III+ F7V,4610.0 K,5.2 M☉,62.0 R☉,1361.0 L☉,0.92 cgs,2.7 km/s,3.9 Gyr,False
22 Ori,o,22.0,,35039,25044.0,05h 21m 45.75s,−00° 22′ 56.9″,4.72,−3.26,1289.0,B2IV-V,suspected β Cep variable,B2 IV-V,22646.0 K,9.5 M☉,6.6 R☉,7244.0 L☉,3.56 cgs,9.35 days,18.5 Myr,False
56 Ori,,56.0,,39400,27750.0,05h 52m 26.44s,+01° 51′ 18.6″,4.76,−2.91,1113.0,K2IIvar,suspected variable,K2-IIb,4270.0 K,6.4 M☉,92.21 R☉,2547.0 L☉,0.91 cgs,3.5 km/s,60.7 Myr,False
49 Ori,d,49.0,,37507,26563.0,05h 38m 53.09s,−07° 12′ 45.8″,4.77,1.41,153.0,A4V,,A4Vn,8416.0 K,1.78 M☉,2.0 R☉,22.0 L☉,4.06 cgs,186.0 km/s,284.0 Myr,False
15 Ori,,15.0,,33276,24010.0,05h 09m 41.96s,+15° 35′ 50.2″,4.81,−0.14,318.0,F2IV,,F2IV,7161.0 K,3.42 M☉,5.9 R☉,300.0 L☉,3.75 cgs,60.0 km/s,,False
