Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Pav,α,,193924,100751.0,20h 25m 38.85s,−56° 44′ 05.6″,1.94,−1.81,183.0,B2IV,"Peacock, Joo Tseo; suspected variable, Vmax = 1.93m, Vmin = 1.96m",B3 V,17711.0 K,5.91 M☉,4.83 R☉,2200.0 L☉,3.94 cgs,16.0 km/s,48.0 Myr,True
β Pav,β,,197051,102395.0,20h 44m 57.56s,−66° 12′ 11.7″,3.42,0.29,137.0,A5IV,,A5 IVor A7 III,8184.0 K,2.51 M☉,2.3 R☉,66.0 L☉,3.84 cgs,75.0 km/s,305.0 Myr,True
δ Pav,δ,,190248,99240.0,20h 08m 41.86s,−66° 10′ 45.6″,3.55,4.62,20.0,G5IV-Vvar,Nearby Sun-like star,G8 IV,5609.0 K,1.07 M☉,1.197 R☉,1.24 L☉,4.29 cgs,21.4 d,6.1 Gyr,True
η Pav,η,,160635,86929.0,17h 45m 44.00s,−64° 43′ 25.4″,3.61,−1.67,371.0,K1III,,K2II,4642.0 K,4.0 M☉,33.49 R☉,469.0 L☉,1.97 cgs,<1.5 km/s,,True
ε Pav,ε,,188228,98495.0,20h 00m 35.39s,−72° 54′ 36.7″,3.97,1.41,106.0,A0V,"suspected variable, Vmax = 3.93m, Vmin = 3.97m",A0 Va,10440.0 K,2.2 M☉,1.74 R☉,32.0 L☉,4.32 cgs,85.0 km/s,27.0 Myr,True
ζ Pav,ζ,,171759,91792.0,18h 43m 02.13s,−71° 25′ 39.8″,4.01,−0.03,210.0,K2III,,K0III,4514.0 K,,18.47 R☉,133.0 L☉,1.97 cgs,3.9 km/s,,True
γ Pav,γ,,203608,105858.0,21h 26m 26.49s,−65° 22′ 05.3″,4.21,4.39,30.0,F6V,"suspected variable, Vmax = 4.17m, Vmin = 4.30m",F9 V Fe-1.4 CH-0.7,6168.0 K,0.934 M☉,1.057 R☉,1.461 L☉,4.359 cgs,1.0 km/s,5.9 Gyr,True
λ Pav,λ,,173948,92609.0,18h 52m 13.04s,−62° 11′ 15.2″,4.22,−4.50,1811.0,B2II-III,"γ Cas variable, Vmax = 4m, Vmin = 4.26m",B2Veor B2II–IIIe,20300.0 K,12.5 M☉,9.0 (polar)R☉,8450.0 L☉,,190.0 km/s,,False
π Pav,π,,165040,88866.0,18h 08m 34.79s,−63° 40′ 05.0″,4.33,1.19,138.0,Am,,kA4hF0mF2 III+ KV,7560.0 K,1.8 M☉,2.8 R☉,24.69 L☉,3.81 cgs,30.0 km/s,1.4 Gyr,False
ξ Pav,ξ,,168339,90098.0,18h 23m 13.62s,−61° 29′ 38.1″,4.35,−1.20,420.0,M1III SB,,K4III,4051.0 K,,54.82 R☉,729.0 L☉,,,,False
κ Pav,κ,,174694,93015.0,18h 56m 57.04s,−67° 14′ 00.7″,4.4,−1.71,543.0,F5Ib-II:,"W Vir variable, Vmax = 3.91m, Vmin = 4.78m, P = 9.083 d",F5-G5 I-II,6350.0 K,0.56 M☉,22.8 R☉,565.0 L☉,,,,False
ν Pav,ν,,169978,90797.0,18h 31m 22.43s,−62° 16′ 41.5″,4.63,−1.20,479.0,B8III,"53 Per variable, Vmax = 4.60m, Vmin = 4.64m, P = 0.85584 d",B7III,12764.0 K,4.39 M☉,,659.0 L☉,,125.0 km/s,,False
φ1 Pav,φ1,,195627,101612.0,20h 35m 34.77s,−60° 34′ 52.7″,4.75,2.55,90.0,F1III,,F0V,7209.0 K,1.51 M☉,1.83 R☉,8.17 L☉,,150.0 km/s,30.0 Myr,False
ρ Pav,ρ,,195961,101773.0,20h 37m 35.24s,−61° 31′ 47.1″,4.85,0.98,195.0,Fm...,"δ Sct variable, ΔV = 0.055m, P = 0.1141 d",Fmδ Del,6704.0 K,,4.33 R☉,34.1 L☉,,45.0 km/s,,False
NU Pav,,NU,189124,98608.0,20h 01m 44.72s,−59° 22′ 33.0″,4.95,−0.67,434.0,M6III,"semiregular variable, Vmax = 4.91m, Vmin = 5.26m, P = 60 d",M6 III,3516.0 K,,204.0 R☉,7412.0 L☉,0.87 cgs,,,False
ο Pav,ο,,201371,104755.0,21h 13m 20.44s,−70° 07′ 34.4″,5.06,−2.12,888.0,M2III,"semiregular variable, Vmax = 5.00m, Vmin = 5.10m, P = 228.3 d",,,,,,,,,False
φ2 Pav,φ2,,196378,101983.0,20h 40m 02.27s,−60° 32′ 51.0″,5.11,3.19,79.0,F8V,,G0 V Fe-0.8 CH-0.5,6091.0 K,1.09 M☉,1.86 R☉,3.39 L☉,4.2 cgs,27.7 d,5.69 Gyr,False
ω Pav,ω,,175329,93163.0,18h 58m 36.59s,−60° 12′ 02.3″,5.14,−0.86,516.0,K1III-IV,suspected variable,,,,,,,,,False
υ Pav,υ,,196519,102157.0,20h 41m 57.06s,−66° 45′ 38.3″,5.14,−1.92,840.0,B8Vvar,,,,,,,,,,False
μ2 Pav,μ2,,188887,98624.0,20h 01m 52.40s,−66° 56′ 37.7″,5.32,1.04,234.0,K2IVCN...,,,,,,,,,,False
σ Pav,σ,,197635,102773.0,20h 49m 18.28s,−68° 46′ 35.0″,5.41,0.56,305.0,K0III,,,,,,,,,,False
ι Pav,ι,,165499,89042.0,18h 10m 26.26s,−62° 00′ 10.0″,5.47,4.22,58.0,G0V,,,,,,,,,,False
SX Pav,,SX,203881,106044.0,21h 28m 44.79s,−69° 30′ 19.0″,5.47,0.05,396.0,M5III,"semiregular variable, Vmax = 5.18m, Vmin = 5.99m, P = 50.87 d",,,,,,,,,False
θ Pav,θ,,173168,92294.0,18h 48m 37.96s,−65° 04′ 39.0″,5.71,1.51,226.0,A9V,,A8V,7453.0 K,1.56 M☉,2.51 R☉,17.4 L☉,3.94 cgs,245.0 km/s,425.0 Myr,False
μ1 Pav,μ1,,188584,98478.0,20h 00m 23.11s,−66° 56′ 56.0″,5.75,1.64,216.0,K0IV,,,,,,,,,,False
NZ Pav,,NZ,186786,97674.0,19h 51m 01.09s,−65° 36′ 16.9″,6.04,2.15,196.0,F2III-IV,"δ Sct variable, ΔV = 0.017m, P = 0.08 d",,,,,,,,,False
HD 168740,,V346,168740,90304.0,18h 25m 31.63s,−63° 01′ 16.6″,6.13,1.87,232.0,A3V,δ Sct variable,,,,,,,,,False
τ Pav,τ,,179009,94724.0,19h 16m 28.60s,−69° 11′ 26.7″,6.25,−0.14,619.0,A6IV/V,,,,,,,,,,False
Y Pav,,Y,203133,105678.0,21h 24m 16.73s,−69° 44′ 01.9″,6.28,−1.52,1181.0,C5II,"semiregular variable, Vmax = 5.79m, Vmin = 6.90m, P = 449 d",,,,,,,,,False
V Pav,,V,160435,86728.0,17h 43m 18.94s,−57° 43′ 26.3″,6.84,,1210.0,C+,"semiregular variable, Vmax = 6.3m, Vmin = 7.17m, P = 226.1 d",,,,,,,,,False
AR Pav,,AR,,89886.0,18h 20m 27.88s,−66° 04′ 42.9″,7.4,,2300.0,B1,"Z And and Algol variable, Vmax = 7.40m, Vmin = 13.620m, P = 604.6 d",,,,,,,,,False
R Pav,,R,165961,89258.0,18h 12m 52.95s,−63° 36′ 57.3″,7.5,,1100.0,M4.5e,"Mira variable, Vmax = 6.86m, Vmin = 14.0m, P = 234 d",,,,,,,,,False
KZ Pav,,KZ,199005,103542.0,20h 58m 40.10s,−70° 25′ 19.8″,7.71,,434.0,F6V,"Algol variable, Vmax = 7.71m, Vmin = 9.3m, P = 0.9498768 d",,,,,,,,,False
MW Pav,,MW,197070,102508.0,20h 46m 27.75s,−71° 56′ 58.5″,8.79,,682.0,F3IV/V,"W UMa variable, Vmax = 8.51m, Vmin = 8.95m, P = 0.794994 d",,,,,,,,,False
X Pav,,X,191155 191171,99512.0,20h 11m 45.86s,−59° 56′ 12.8″,9.2,,2190.0,M6/M7III:p,semiregular variable,,,,,,,,,False
V347 Pav,,V347,,,18h 44m 48.25s,−74° 18′ 34.2″,14.85,,,CV,"AM Her variable, Vmax = 14.85m, Vmin = 16.67m, P = 0.062553 d",,,,,,,,,False
BD Pav,,BD,,,18h 43m 11.92s,−57° 30′ 44.9″,,,,,U Gem and W UMa variable,,,,,,,,,False
