Name,B,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Phe,α,48.0,,2261.0,2081.0,00h 26m 16.87s,−42° 18′ 18.4″,2.4,0.52,77.0,K0III...,"Ankaa, Nair al Zaurak, Cymbae, Lucida Cymbae",K0.5 IIIb,4700.0 K,2.79 M☉,14.7 R☉,83.0 L☉,2.53 cgs,1.0 km/s,,True
β Phe,β,85.0,,6595.0,5165.0,01h 06m 05.11s,−46° 43′ 06.6″,3.32,−0.60,198.0,G8IIIvar,,G8III + G8III:,4950.0 K,3.0 M☉,14.0 R☉,100.0 L☉,,,,True
γ Phe,γ,106.0,,9053.0,6867.0,01h 28m 21.94s,−43° 19′ 03.8″,3.41,−0.87,234.0,K5II-III,,M0III,3802.0 K,1.3 M☉,55.0 R☉,562.0 L☉,,,,True
ε Phe,ε,39.0,,496.0,765.0,00h 09m 24.54s,−45° 44′ 49.2″,3.88,0.71,140.0,K0III,,K0III,4862.0 K,1.93 M☉,10.03 R☉,50.4 L☉,2.56 cgs,<1.5 km/s,,True
κ Phe,κ,46.0,,2262.0,2072.0,00h 26m 12.12s,−43° 40′ 47.7″,3.93,2.07,77.0,A7V,,A5IVn,7320.0 K,1.74 M☉,2.03 R☉,10.7 L☉,4.3 cgs,245.0 km/s,348.0 Myr,False
δ Phe,δ,109.0,,9362.0,7083.0,01h 31m 14.98s,−49° 04′ 23.1″,3.93,0.66,147.0,K0III-IV,,G8.5 IIIb,4790.0 K,1.47 M☉,10.79 R☉,54.6 L☉,2.61 cgs,<1.0 km/s,2.33 Gyr,False
ζ Phe,ζ,89.0,,6882.0,5348.0,01h 08m 23.06s,−55° 14′ 45.0″,3.94,−0.73,280.0,B6V + B0V,Wurren,B6 V + B8 V,14400.0 K,3.908 M☉,2.835 R☉,309.0 L☉,4.1249 cgs,85.89 km/s,,False
η Phe,η,68.0,,4150.0,3405.0,00h 43m 21.24s,−57° 27′ 47.2″,4.36,0.02,240.0,A0IV,,A0IV,9822.0 K,2.93 M☉,,120.0 L☉,3.85 cgs,124.0 km/s,,False
ψ Phe,ψ,126.0,,11695.0,8837.0,01h 53m 38.82s,−46° 18′ 08.8″,4.39,−0.58,321.0,M4III SB,"semiregular variable, Vmax = 4.3m, Vmin = 4.5m, P = 30 d",M4III,3586.0 K,1.3 M☉,86.0 R☉,1050.0 L☉,0.68 cgs,3.9 km/s,4.9 Gyr,False
μ Phe,μ,64.0,,3919.0,3245.0,00h 41m 19.58s,−46° 05′ 06.0″,4.59,0.19,247.0,G8III,,G8III,4900.0 K,2.5 M☉,13.15 R☉,96.6 L☉,,1.4 km/s,1.4 Gyr,False
ι Phe,ι,9.0,,221760.0,116389.0,23h 35m 04.53s,−42° 36′ 54.4″,4.69,0.07,273.0,A2V,Alpha2 Canum Venaticorum variable,A2VpSrCrEu,7370.0 K,2.23 M☉,5.07 R☉,68.2 L☉,3.89 cgs,23.0 km/s,573.0 Myr,False
λ1 Phe,λ1,54.0,,2834.0,2472.0,00h 31m 24.86s,−48° 48′ 12.8″,4.76,1.15,172.0,A0V,,A0Va,9931.0 K,2.26 M☉,2.24 R☉,33.68 L☉,4.17 cgs,111.0 km/s,224.0 Myr,False
ν Phe,ν,,,7570.0,5862.0,01h 15m 10.57s,−45° 31′ 55.5″,4.97,4.08,49.0,F8V,may have a circumstellar disk,F9 V Fe+0.4,6116.0 K,1.15 M☉,1.26 R☉,2.0 L☉,4.34 cgs,3.7 km/s,3.9 Gyr,False
φ Phe,φ,,,11753.0,8882.0,01h 54m 22.06s,−42° 29′ 48.8″,5.12,0.24,309.0,A3V,,B9pHgMnB9V,10500.0 K,3.0 M☉,2.817 R☉,87.0 L☉,3.8 cgs,9.53077 d,260.0 Myr,False
π Phe,π,,,224554.0,118234.0,23h 58m 55.72s,−52° 44′ 45.4″,5.13,0.65,257.0,K1III,,,,,,,,,,False
χ Phe,χ,,,12524.0,9459.0,02h 01m 42.40s,−44° 42′ 48.2″,5.15,−0.14,372.0,K5III,suspected variable,,,,,,,,,False
σ Phe,σ,,,223145.0,117315.0,23h 47m 15.99s,−50° 13′ 35.1″,5.18,−1.11,592.0,B3V,"variable star, ΔV = 0.004m, P = 2.97 d",,,,,,,,,False
υ Phe,υ,,,6767.0,5300.0,01h 07m 47.83s,−41° 29′ 13.0″,5.21,1.29,198.0,A3V,Double star,,,,,,,,,False
ρ Phe,ρ,,,4919.0,3949.0,00h 50m 41.13s,−50° 59′ 12.9″,5.24,0.82,250.0,F2III,"δ Sct variable, Vmax = 5.20m, Vmin = 5.26m, P = 0.12 d",F3III,6917.0 K,2.13 M☉,4.2 R☉,36.0 L☉,3.52 cgs,,1.0 Gyr,False
λ2 Phe,λ2,,,3302.0,2802.0,00h 35m 41.13s,−48° 00′ 02.4″,5.51,2.72,118.0,F6V,,,,,,,,,,False
