Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
γ Sge,γ,12.0,,189319.0,98337.0,19h 58m 45.39s,+19° 29′ 31.5″,3.51,−1.11,274.0,K5III,"variable star, ΔV = 0.004m, P = 6.37836 d",M0 III,3904.0 K,1.77 M☉,57.71 R☉,697.0 L☉,1.06 cgs,,2.35 Gyr,True
δ Sge,δ,7.0,,187076.0,97365.0,19h 47m 23.27s,+18° 32′ 03.3″,3.82,−1.87,448.0,M2II + B6,"semiregular variable, Vmax = 3.75m, Vmin = 3.83m",M2II + B9.5V,3660.0 K,3.8 M☉,180.0 R☉,3162.0 L☉,0.74 cgs,,,True
α Sge,α,5.0,,185758.0,96757.0,19h 40m 05.78s,+18° 00′ 50.2″,4.38,−1.42,473.0,G0II,"Sham, Alsahm",G1 II,5333.0 K,4.11 M☉,21.0 R☉,340.0 L☉,3.11 cgs,10.0 km/s,151.0 Myr,True
β Sge,β,6.0,,185958.0,96837.0,19h 41m 02.93s,+17° 28′ 34.0″,4.38,−1.39,466.0,G8II,,G8 IIIa CN 0.5,4990.0 K,3.755 M☉,25.7 R☉,369.0 L☉,2.2 cgs,9.1 km/s,129.0 Myr,True
ζ Sge,ζ,8.0,,187362.0,97496.0,19h 48m 58.65s,+19° 08′ 31.1″,5.01,0.01,326.0,A3V,,A3 Vnn(A1 V + A3 V),8422.0 K,1.8 M☉,1.7 R☉,46.0 L☉,3.89 cgs,240.0 km/s,347.0 Myr,False
η Sge,η,16.0,,190608.0,98920.0,20h 05m 09.47s,+19° 59′ 27.2″,5.09,1.61,162.0,K2III,suspected variable,K2 III,4784.0 K,1.73 M☉,7.08 R☉,26.0 L☉,3.03 cgs,1.3 km/s,1.69 Gyr,False
13 Sge,,13.0,VZ,189577.0,98438.0,20h 00m 03.31s,+17° 30′ 59.5″,5.33,−1.47,746.0,M4IIIa,"semiregular variable, Vmax = 5.27m, Vmin = 5.57m",M4 III,3844.0 K,2.8 M☉,185.7 R☉,2173.57 L☉,3.0 cgs,,,False
11 Sge,,11.0,,189090.0,98234.0,19h 57m 45.44s,+16° 47′ 20.8″,5.54,0.07,404.0,B9III,,B9III,9661.0 K,2.47 M☉,4.02 R☉,127.0 L☉,3.62 cgs,34.0 km/s,242.0 Myr,False
1 Sge,,1.0,,180317.0,94620.0,19h 15m 17.34s,+21° 13′ 55.6″,5.65,0.71,318.0,A4V,,,,,,,,,,False
ε Sge,ε,4.0,,185194.0,96516.0,19h 37m 17.38s,+16° 27′ 46.0″,5.67,−0.14,473.0,G8IIIvar,"suspected variable, Vmax = 5.64m, Vmin = 5.67m",G8 IIIvar,4966.0 K,2.9 M☉,18.37 R☉,184.9 L☉,2.52 cgs,3.2 km/s,520.0 Myr,False
