Name,B,F,G.,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Ser,α,24,21 Cap,,140573.0,77070,15h 44m 16.00s,+06° 25′ 31.9″,2.63,0.87,73,K2III,"Unukalhai, Unukalhay, Unuk al Hay, Unuk Elhai, Unuk, Cor Serpentis",,,,,,,,,,,,,,,K2 IIIb CN1,4687.0 K,1.61 M☉,12.19 R☉,58.9 L☉,2.4 cgs,4.3 km/s,2.06 Gyr,True
η Ser,η,58,34 Cau,,168723.0,89962,18h 21m 18.92s,−02° 53′ 49.6″,3.23,1.84,62,K0III-IV,"Donghai, Tung Hae",,,,,,,,,,,,,,,K0 III-IV,4875.0 K,1.6 M☉,5.92 R☉,17.85 L☉,2.92 cgs,2.47 km/s,2.69 Gyr,True
μ Ser,μ,32,27 Cap,,141513.0,77516,15h 49m 37.27s,−03° 25′ 48.5″,3.54,0.14,156,A0V,Tiānrǔ (天乳),,,,,,,,,,,,,,,A0 V,9487.0 K,2.4 M☉,,92.0 L☉,,96.0 km/s,,True
ξ Ser,ξ,55,8 Cau,,159876.0,86263,17h 37m 35.23s,−15° 23′ 54.3″,3.54,0.99,105,F0IIIp,"Nanhai, Nan Hae",,,,,,,,,,,,,,,A9 IIIp Sr,7217.0 K,2.06 M☉,3.695 R☉,30.6 L☉,3.55 cgs,54.0 km/s,1.03 Gyr,True
β Ser,β,28,,,141003.0,77233,15h 46m 11.21s,+15° 25′ 18.9″,3.65,0.29,153,A3V,Chow,,,,,,,,,,,,,,,A2 Vor A2 IV+ K3 V,9359.0 (polar)K,1.828 M☉,3.07 (polar)R☉,58.17 L☉,3.27 cgs,216.6 km/s,610.0 Myr,True
ε Ser,ε,37,29 Cap,,141795.0,77622,15h 50m 48.89s,+04° 28′ 39.3″,3.71,2.04,70,A2m,"Ba, Pa, component of the δ Ser system; quadruple star; Delta Scuti-type variable star",,,,,,,,,,,,,,,kA2hA5mA7 V,7928.0 K,1.82 M☉,1.783 R☉,12.134 L☉,4.346 cgs,33.1 km/s,500.0 Myr,True
γ Ser,γ,41,,,142860.0,78072,15h 56m 26.99s,+15° 39′ 53.0″,5.2,3.62,36,F6V,"Ainalhai, Zheng, Ching",,,,,,,,,,,,,,,F6 V,6296.0 K,1.21 M☉,1.461 R☉,3.019 L☉,4.16 cgs,10.2 km/s,3.6 Gyr,False
κ Ser,κ,35,,,141477.0,77450,15h 48m 44.41s,+18° 08′ 30.4″,4.09,−1.05,348,M1III,Gudja,,,,,,,,,,,,,,,M0.5III,3863.0 K,2.7 M☉,71.31 R☉,1021.0 L☉,1.96 cgs,,,True
δ Ser A,δ,13,,,138917.0,76276,15h 34m 48.19s,+10° 32′ 19.9″,3.8,−0.24,210,F0IV,quadruple star; Delta Scuti-type variable star,,,,,,,,,,,,,,,A9IV + F0IV,6430.0 K,1.98 M☉,4.6 R☉,76.0 L☉,3.46 cgs,99.0 km/s,1.12 Gyr,True
ο Ser,ο,56,11 Cau,,160613.0,86565,17h 41m 24.92s,−12° 52′ 30.6″,4.24,0.68,168,A2Va,Delta Scuti-type variable star,,,,,,,,,,,,,,,A2 Va,8972.0 K,2.13 M☉,2.2 R☉,42.6 L☉,3.82 cgs,112.6 km/s,518.0 Myr,True
