Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α TrA,α,,150798.0,82273.0,16h 48m 39.87s,−69° 01′ 39.5″,1.91,−3.62,391.0,K2IIb-IIIa,"Atria, possible binary star",K2Ib-IIa,4150.0 K,7.0 M☉,167.0 R☉,5500.0 L☉,1.5 cgs,,48.0 Myr,True
β TrA,β,,141891.0,77952.0,15h 55m 08.81s,−63° 25′ 47.1″,2.83,2.38,40.0,F1 V,,F1 V,7171.0 K,1.56 M☉,1.976 R☉,9.3 L☉,4.219 cgs,69.63 km/s,674.0 Myr,True
γ TrA,γ,,135382.0,74946.0,15h 18m 54.69s,−68° 40′ 46.1″,2.87,−0.87,183.0,A1V,,A1III,8225.0 K,3.04 M☉,7.0 R☉,249.0 L☉,3.39 cgs,199.0 km/s,350.0 Myr,True
δ TrA,δ,,145544.0,79664.0,16h 15m 26.27s,−63° 41′ 08.3″,3.86,−2.54,621.0,G5II,,G2 Ib-IIa,4705.0 K,6.51 M☉,53.6 R☉,1210.0 L☉,1.54 cgs,8.2 km/s,,False
ε TrA,ε,,138538.0,76440.0,15h 36m 43.19s,−66° 19′ 00.9″,4.11,0.00,216.0,K0III,,K0 III,4436.0 K,2.0 M☉,16.2 R☉,91.0 L☉,2.2 cgs,,,False
ζ TrA,ζ,,147584.0,80686.0,16h 28m 27.80s,−70° 05′ 04.8″,4.9,4.49,39.0,F9V,,F9V + M4V,6210.0 K,1.12 M☉,1.02 R☉,1.41 L☉,4.42 cgs,13.0 days,900.0 Myr,False
LP TrA,,LP,150549.0,82129.0,16h 46m 40.01s,−67° 06′ 34.8″,5.1,−1.32,626.0,A0II-IIIp,"α² CVn variable, ΔV = 0.033m, P = 3.76 d",,,,,,,,,False
κ TrA,κ,,141767.0,77982.0,15h 55m 29.61s,−68° 36′ 10.8″,5.11,−4.70,2991.0,G6IIa,"semiregular variable, Vmax = 5.08m, Vmin = 5.11m, P = 600 d",G3/5 Ib,4658.0 K,7.0 M☉,,1761.0 L☉,1.9 cgs,7.7 km/s,55.2 Myr,False
ι TrA,ι,,147787.0,80645.0,16h 27m 57.27s,−64° 03′ 28.8″,5.28,2.25,132.0,F4IV,"γ Dor variable, triple star",F4 IV,7045.0 K,1.42 M☉,,,4.28 cgs,13.0 km/s,735.0 Myr,False
θ TrA,θ,,148890.0,81252.0,16h 35m 44.77s,−65° 29′ 43.2″,5.5,0.49,328.0,G8/K0III,,G8-K0 III,5071.0 K,2.65 M☉,10.4 R☉,64.6 L☉,2.81 cgs,,,False
LX TrA,,LX,137066.0,75665.0,15h 27m 33.10s,−64° 31′ 53.2″,5.71,−0.88,679.0,K5/M0III,semiregular variable,,,,,,,,,False
X TrA,,X,134453.0,74582.0,15h 14m 19.17s,−70° 04′ 46.0″,5.75,−2.56,1495.0,C5.5,"semiregular variable, Vmax = 5.03m, Vmin = 6.05m, P = 361.1 d",C5.5,2650.0 K,2.0 M☉,535.0 R☉,12815.0 L☉,0.51 cgs,,,False
MX TrA,,MX,152564.0,83150.0,16h 59m 33.98s,−69° 16′ 05.3″,5.79,−1.60,982.0,Ap Si,α² CVn variable,,,,,,,,,False
η1 TrA,η1,,149671.0,81710.0,16h 41m 23.13s,−68° 17′ 45.9″,5.89,−0.73,688.0,B7IV,,B7 Vor B7 IVe,12162.0 K,3.76 M☉,,318.0 L☉,,234.0 km/s,199.0 Myr,False
R TrA,,R,135592.0,75018.0,15h 19m 45.71s,−66° 29′ 45.7″,6.39,,3500.0,F7Ib/II,"Cepheid variable, Vmax = 6.33m, Vmin = 7m, P = 3.389287 d",F7 Ib/II,5852.0 K,5.66 M☉,35.8 R☉,,2.1 cgs,16.0 km/s,,False
S TrA,,S,142941.0,78476.0,16h 01m 10.72s,−63° 46′ 35.5″,6.42,−2.57,2050.0,F8II,"Cepheid variable, Vmax = 5.95m, Vmin = 6.81m, P = 6.32344 d",F8 II,5976.0 K,2.8 M☉,39.2 R☉,,2.1 cgs,,,False
U TrA,,U,143999.0,78978.0,16h 07m 09.01s,−62° 54′ 38.0″,7.89,,3130.0,F8Ib/II,"Cepheid variable, Vmax = 7.3m, Vmin = 8.29m, P = 2.568423 d",,,,,,,,,False
RT TrA,,RT,,81157.0,16h 34m 30.89s,−63° 08′ 00.8″,9.7,,2590.0,G2Ib-II:,"W Virginis variable, Vmax = 9.43m, Vmin = 10.18m, P = 1.9461124 d",F8:(R)-G2I-II,5200.0 K,0.48 M☉,9.4 R☉,138.0 L☉,,,,False
WR 71,,LT,143414.0,78689.0,16h 03m 49.34s,−62° 41′ 36.0″,10.1,,2940.0,WN6w,"Wolf–Rayet star, ΔV = 0.13m",,,,,,,,,False
EK TrA,,EK,,,15h 14m 01.47s,−65° 05′ 32.1″,10.4,,,,"SU Ursae Majoris variable, Vmax = 10.4m, Vmin = <15.0m, P = 0.06288 d",,,,,,,,,False
HD 141969,,MM,141969.0,78034.0,15h 56m 01.69s,−66° 09′ 09.2″,11.0,,3500.0,BC0Ibe,central star of planetary nebula He 2-138,,,,,,,,,False
KX TrA,,KX,,,16h 44m 35.47s,−62° 37′ 14.08″,11.38,,,M6,Z Andromedae variable,,,,,,,,,False
4U 1626-67,,KZ,,,16h 32m 16.8s,−67° 27′ 43″,18.5,,,,"Low-mass X-ray binary, Vmax = 18.23m, Vmin = 19m",,,,,,,,,False
X1556-605,,LU,,,16h 01m 02.3s,−60° 44′ 18″,18.6,,,,"Low-mass X-ray binary, Vmax = 18.6m, Vmin = 19.2m, P = 0.46229 d",,,,,,,,,False
TrA X-1,,KY,,,15h 28m 17.2s,−61° 52′ 58″,,,,,Low-mass X-ray binary,,,,,,,,,False
