Name,B,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
γ2 Vel,γ2,,68273,39953.0,08h 09m 31.96s,−47° 20′ 11.8″,1.83,−5.84,1120.0,WC8 + O7.5III,"Suhail, Suhail al Muhlif, Muliphein, Regor; double star; Wolf-Rayet star, Vmax = 1.81m, Vmin = 1.87m",WC8 + O7.5III,90000.0 K,9.0 M☉,1.9 R☉,204000.0 L☉,,,5.0 Myr,True
δ Vel,δ,,74956,42913.0,08h 44m 42.20s,−54° 42′ 30.8″,1.96,0.00,81.0,A1Va(n),"Koo She, Alsephina; quadruple star; Algol variable, ΔV = 0.4m, P = 45.15 d",A1 Va(n),9440.0 K,2.43 M☉,2.97 R☉,67.0 L☉,3.9 cgs,1.05 days,400.0 Myr,True
λ Vel,λ,,78647,44816.0,09h 07m 59.78s,−43° 25′ 57.4″,2.21,−3.97,573.0,K4Ib-II,"Suhail, Suhail al Muhlif, Al Suhail, Alsuhail, Suhail Alwazn, Muliphein; semiregular variable, Vmax = 2.14m, Vmin = 2.3m",K4 Ib,3835.0 K,7.0 M☉,211.0 R☉,8300.0 L☉,0.64 cgs,5.6 km/s,31.6 Myr,True
κ Vel,κ,,81188,45941.0,09h 22m 06.83s,−55° 00′ 38.5″,2.47,−3.62,539.0,B2IV,Markeb; Markab,B2 IV,18200.0 K,9.44 M☉,11.6 R☉,13200.0 L☉,,<9.7 days,15.7 Myr,True
μ Vel,μ,,93497,52727.0,10h 46m 46.12s,−49° 25′ 12.5″,2.69,−0.06,116.0,G5III SB,,G5III,5047.0 K,3.3 M☉,13.0 R☉,107.0 L☉,2.75 cgs,6.4 km/s,360.0 Myr,True
HD 82668,N,,82668,46701.0,09h 31m 13.35s,−57° 02′ 03.8″,3.16,−1.15,238.0,K5III,"semiregular variable, Vmax = 3.12m, Vmin = 3.18m",K5 III,3964.0 K,2.1 M☉,66.0 R☉,776.0 L☉,1.19 cgs,,,False
φ Vel,φ,,86440,48774.0,09h 56m 51.75s,−54° 34′ 04.1″,3.52,−5.34,1929.0,B5Ib,Tseen Ke,B5 Ib,14600.0 K,10.1 M☉,31.0 R☉,28200.0 L☉,2.55 cgs,17.0 km/s,22.6 Myr,False
ο Vel,ο,,74195,42536.0,08h 40m 17.61s,−52° 55′ 19.1″,3.6,−2.31,495.0,B3IV,"in IC 2391; slowly pulsating B star, Vmax = 3.57m, Vmin = 3.63m, P = 2.80 d",B3/5(V),16200.0 K,5.5 M☉,4.3 R☉,1000.0 L☉,3.91 cgs,9.0 km/s,39.8 Myr,False
HD 78004,c,,78004,44511.0,09h 04m 09.32s,−47° 05′ 51.8″,3.75,−1.13,309.0,K2III,,K2III,4483.0 K,,27.32 R☉,271.5 L☉,,,,False
HD 74180,b,,74180,42570.0,08h 40m 37.58s,−46° 38′ 55.5″,3.81,−7.06,4900.0,F3Ia,"suspected variable, Vmax = 3.80m, Vmin = 3.91m","F8 Ib,F0Ia+or F0Ia",7839.0 K,21.4 M☉,186.0 R☉,34040.0 L☉,1.38 cgs,21.7 km/s,7.4 Myr,False
