Name,B,F,Var,HD,HIP,RA,Dec,vis. mag.,abs. mag.,Dist. (ly),Sp. class,Notes,Spectral type,Temperature,Mass,Radius,Luminosity,Surface gravity,Rotation,Age,Main Star
α Vul,α,6,,183439.0,95771.0,19h 28m 42.33s,+24° 39′ 53.7″,4.4,−0.36,291.0,M1III,"Anser; suspected variable, Vmax = 4.39m, Vmin = 4.46m",M1 III,3690.0 K,0.97 M☉,43.14 R☉,415.9 L☉,1.3 cgs,4.6 km/s,11.3 Gyr,True
23 Vul,,23,,192806.0,99874.0,20h 15m 46.14s,+27° 48′ 51.1″,4.52,−0.58,327.0,K3- III Fe-1,,K3- III Fe-1,4413.0 K,2.4 M☉,31.0 R☉,288.0 L☉,0.89 cgs,3.7 km/s,,True
31 Vul,(r),31,,198809.0,103004.0,20h 52m 07.68s,+27° 05′ 49.0″,4.56,0.77,228.0,G7IIIa Fe-1 Ba,,G7IIIa Fe-1 Ba,5261.0 K,2.4 M☉,8.01 R☉,52.53 L☉,2.97 cgs,5.9 km/s,700.0 Myr,True
13 Vul,,13,,188260.0,97886.0,19h 53m 27.68s,+24° 04′ 46.3″,4.57,−0.64,359.0,B9.5III,,B9.5III,8801.0 K,,1.3 R☉,180.0 L☉,,45.0 km/s,,True
15 Vul,,15,NT,189849.0,98543.0,20h 01m 06.01s,+27° 45′ 12.8″,4.66,0.49,222.0,A4III,"α² CVn variable, Vmax = 4.62m, Vmin = 4.67m, P = 14 d",A4IIImorkA5hA7mA7 (IV–V),7685.0 K,2.41 M☉,4.43 R☉,61.6 L☉,3.53 cgs,15.0 km/s,,True
1 Vul,,1,,180554.0,94703.0,19h 16m 13.04s,+21° 23′ 25.6″,4.76,−2.47,911.0,B4IV,"suspected variable, Vmax = 4.57m, Vmin = 4.77m",B4IV,16787.0 K,6.9 M☉,,919.0 L☉,3.74 cgs,80.0 km/s,,False
HR 7739,,,QR,192685.0,99824.0,20h 15m 15.89s,+25° 35′ 31.1″,4.79,−3.04,1199.0,B3V,"γ Cas variable, Vmax = 4.6m, Vmin = 4.8m",B3V,18700.0 K,8.0 M☉,,3331.0 L☉,3.49 cgs,160.0 km/s,,False
29 Vul,,29,,196724.0,101867.0,20h 38m 31.29s,+21° 12′ 04.2″,4.81,0.73,213.0,A0V,,A0V,10507.0 K,2.67 M☉,,71.0 L☉,4.2 cgs,52.0 km/s,254.0 Myr,False
12 Vul,,12,V395,187811.0,97679.0,19h 51m 04.09s,+22° 36′ 36.3″,4.9,−1.49,619.0,B2.5V,"Be star, Vmax = 4.78m, Vmin = 4.97m",B2.5V,18859.0 K,6.8 M☉,,963.0 L☉,3.36 cgs,195.0 km/s,,False
30 Vul,,30,,197752.0,102388.0,20h 44m 52.52s,+25° 16′ 15.8″,4.92,−0.32,365.0,K2III,,K1 III,4498.0 K,1.55 M☉,21.68 R☉,173.3 L☉,2.47 cgs,1.5 km/s,4.2 Gyr,False
9 Vul,,9,,184606.0,96275.0,19h 34m 34.89s,+19° 46′ 24.2″,5.0,−1.35,608.0,B8IIIn,"suspected variable, Vmax = 4.99m, Vmin = 5.08m",B8 IIIn,12042.0 K,3.5 M☉,2.8 R☉,216.0 L☉,354.0 cgs,185.0 km/s,185.0 Myr,False
32 Vul,(q),32,,199169.0,103200.0,20h 54m 33.64s,+28° 03′ 27.5″,5.03,−1.75,739.0,K4III,"suspected variable, Vmax = 4.99m, Vmin = 5.06m",K4 III,4041.0 K,,54.29 R☉,708.4 L☉,1.74 cgs,8.1 km/s,,False
28 Vul,,28,,196740.0,101868.0,20h 38m 31.91s,+24° 06′ 57.5″,5.06,−0.84,493.0,B5IV,,B5IV,15200.0 K,5.0 M☉,,713.0 L☉,3.77 cgs,285.0 km/s,,False
17 Vul,,17,,190993.0,99080.0,20h 06m 53.40s,+23° 36′ 51.9″,5.08,−0.80,488.0,B3V,,B3 V,15648.0 K,6.1 M☉,3.9 R☉,573.3 L☉,,115.0 km/s,10.7 Myr,False
